Precinct	total_votes	votes|Jeanette B Taylor	votes|Nicole J. Johnson	votes|Maya Hodari	votes|Jennifer O. Maddox	votes|Andre Smith	votes|Dernard D. Newell	votes|Quandra V. Speights	votes|Kevin M. Bailey	votes|Anthony Driver, Jr.
20001	267	109	32	12	13	17	3	4	76	1
20002	120	11	10	2	0	1	2	10	9	75
20003	208	62	22	35	10	19	1	0	56	3
20004	101	19	16	2	0	14	0	4	15	31
20005	274	64	46	64	10	23	10	12	39	6
20006	101	13	60	0	2	6	0	3	12	5
20007	225	69	38	10	20	17	2	4	55	10
20008	226	82	41	14	11	26	0	10	36	6
20009	376	124	77	65	17	18	7	6	50	12
20010	153	54	16	18	17	16	0	1	28	3
20011	288	73	85	24	10	23	1	11	54	7
20012	151	40	24	5	10	32	1	0	32	7
20013	276	62	139	6	12	12	0	3	31	11
20014	144	60	27	13	10	11	1	2	16	4
20015	153	49	24	13	12	14	1	1	21	18
20016	265	112	48	18	18	14	4	11	36	4
20017	126	37	36	6	8	5	2	3	17	12
20018	163	53	22	16	9	21	1	2	34	5
20019	228	70	40	20	26	21	1	5	37	8
20020	133	59	18	4	2	9	1	2	23	15
20021	141	42	41	6	4	7	2	4	15	20
20022	333	65	84	94	18	9	7	3	45	8
20023	231	53	59	11	9	37	1	3	36	22
20024	286	95	51	62	21	12	2	7	27	9
20025	174	27	48	4	9	9	1	5	36	35
20026	286	80	59	46	9	25	6	7	41	13
20027	120	28	29	3	11	11	0	0	31	7
20028	146	31	19	11	6	39	1	3	32	4
20029	331	109	126	10	19	9	0	0	49	9
20030	112	20	39	3	10	10	0	1	21	8
20031	262	101	45	14	8	26	1	2	48	17
20032	210	45	53	12	9	21	2	3	27	38
20033	143	30	28	9	7	21	3	9	34	2
20034	360	138	59	60	18	27	4	4	24	26
20035	136	17	13	1	76	9	2	2	12	4
20036	68	14	23	0	3	2	0	3	20	3
20037	69	14	26	4	6	4	0	0	13	2
20038	79	17	19	1	0	3	1	7	17	14
20039	19	6	2	3	0	0	0	0	6	2
