Precinct	total_votes	votes|George Cardenas	votes|Pete Demay	votes|Martha Yerania Rangel	votes|Jose Rico
12001	309	146	88	33	42
12002	216	133	23	32	28
12003	388	139	102	80	67
12004	298	134	66	53	45
12005	313	208	33	47	25
12006	300	154	71	33	42
12007	221	89	41	33	58
12008	353	196	60	73	24
12009	248	147	24	39	38
12010	246	84	41	36	85
12011	238	155	34	22	27
12012	241	141	24	43	33
12013	264	145	54	21	44
12014	184	94	14	42	34
12015	213	113	23	36	41
12016	187	83	11	49	44
12017	266	142	42	23	59
12018	218	84	19	46	69
12019	264	140	53	40	31
12020	241	143	39	19	40
12021	253	115	51	39	48
12022	188	68	31	38	51
12023	292	134	75	52	31
