Precinct	total_votes	votes|Gilbert Villegas
36001	193	193
36002	161	161
36003	168	168
36004	148	148
36005	154	154
36006	143	143
36007	279	279
36008	131	131
36009	124	124
36010	236	236
36011	126	126
36012	99	99
36013	116	116
36014	234	234
36015	210	210
36016	248	248
36017	269	269
36018	226	226
36019	187	187
36020	212	212
36021	115	115
36022	114	114
36023	127	127
36024	196	196
36025	148	148
36026	191	191
36027	183	183
36028	186	186
36029	251	251
36030	201	201
