Precinct	total_votes	votes|Creative Scott	votes|Michael Scott, Jr.	votes|Toriano A. Sanzone	votes|Traci Johnson
24001	156	29	104	5	18
24002	164	34	104	5	21
24003	186	28	130	12	16
24004	118	11	77	5	25
24005	96	14	65	3	14
24006	211	71	100	13	27
24007	117	14	65	10	28
24008	87	22	48	6	11
24009	152	36	91	6	19
24010	81	13	46	5	17
24011	198	70	73	41	14
24012	112	18	68	10	16
24013	89	20	63	1	5
24014	151	21	104	4	22
24015	99	44	47	3	5
24016	312	21	147	38	106
24017	134	15	96	2	21
24018	162	14	98	6	44
24019	232	50	131	6	45
24020	128	9	86	4	29
24021	74	13	44	4	13
24022	205	32	130	12	31
24023	123	27	63	16	17
24024	183	38	103	9	33
24025	146	34	65	24	23
24026	284	37	210	10	27
24027	201	30	117	4	50
24028	138	20	90	2	26
24029	151	42	96	3	10
24030	95	13	61	7	14
24031	213	75	109	10	19
24032	77	16	50	4	7
24033	112	24	68	9	11
24034	175	52	89	10	24
24035	158	33	112	4	9
24036	224	59	124	16	25
24037	102	17	62	5	18
24038	165	25	107	8	25
24039	214	24	142	14	34
24040	189	17	110	7	55
24041	141	9	114	1	17
