Precinct	total_votes	votes|Harry Osterman	votes|David Earl Williams Iii
48001	320	275	45
48002	203	180	23
48003	350	289	61
48004	363	303	60
48005	268	244	24
48006	364	296	68
48007	335	307	28
48008	209	182	27
48009	232	188	44
48010	513	448	65
48011	355	324	31
48012	427	359	68
48013	454	380	74
48014	208	152	56
48015	190	160	30
48016	307	255	52
48017	332	268	64
48018	257	185	72
48019	282	241	41
48020	411	349	62
48021	424	335	89
48022	362	297	65
48023	374	327	47
48024	351	286	65
48025	366	321	45
48026	140	125	15
48027	303	227	76
48028	376	296	80
48029	237	200	37
48030	361	323	38
48031	359	269	90
48032	306	232	74
48033	240	208	32
48034	308	271	37
48035	246	195	51
48036	239	192	47
48037	341	297	44
48038	431	396	35
48039	310	267	43
48040	314	267	47
48041	353	286	67
48042	425	356	69
48043	348	272	76
48044	447	388	59
48045	278	237	41
48046	238	187	51
