Precinct	total_votes	votes|Anthony A. Beale	votes|Cleopatra Watson	votes|Paul Collins	votes|Essie Hall
09001	239	153	70	11	5
09002	204	126	43	15	20
09003	122	34	54	12	22
09004	187	105	33	32	17
09005	244	142	74	14	14
09006	219	133	53	16	17
09007	190	107	51	12	20
09008	191	104	78	5	4
09009	286	196	68	13	9
09010	175	118	44	3	10
09011	168	86	44	23	15
09012	281	142	61	66	12
09013	293	207	50	17	19
09014	314	220	59	18	17
09015	149	44	54	20	31
09016	218	136	35	33	14
09017	151	98	41	4	8
09018	164	99	35	13	17
09019	209	121	50	16	22
09020	247	166	52	12	17
09021	215	152	47	10	6
09022	280	167	61	41	11
09023	296	164	86	34	12
09024	249	174	52	8	15
09025	249	134	79	25	11
09026	175	85	32	14	44
09027	197	124	58	6	9
09028	94	61	18	8	7
09029	201	112	65	7	17
09030	175	118	42	7	8
09031	167	98	50	3	16
09032	229	151	48	23	7
09033	161	73	41	17	30
09034	183	86	69	14	14
09035	254	166	62	16	10
09036	183	97	56	22	8
09037	370	238	75	45	12
09038	222	162	40	9	11
09039	256	127	77	20	32
09040	282	183	71	23	5
09041	197	113	43	20	21
09042	281	151	101	17	12
09043	196	122	56	6	12
09044	230	110	66	32	22
09045	167	100	26	24	17
09046	242	152	62	14	14
09047	288	162	94	16	16
09048	261	158	59	36	8
09049	271	177	53	22	19
09050	350	179	125	25	21
09051	251	140	86	19	6
