Precinct	total_votes	votes|Stephanie D. Coleman	votes|Latasha M. Sanders	votes|Kenny C. Doss Ii	votes|Toni L. Foulkes	votes|Jeffrey L. Lewis	votes|Eddie Johnson Iii
16001	207	112	21	6	49	5	14
16002	182	77	33	4	57	2	9
16003	135	56	11	3	51	0	14
16004	161	65	10	11	61	3	11
16005	118	62	5	2	39	5	5
16006	172	66	11	3	76	3	13
16007	164	84	22	6	45	0	7
16008	104	43	24	2	30	1	4
16009	173	72	18	15	43	16	9
16010	156	73	21	12	36	7	7
16011	135	69	14	5	31	2	14
16012	130	69	22	5	27	3	4
16013	123	49	11	9	48	3	3
16014	130	78	9	4	29	0	10
16015	189	86	38	14	41	2	8
16016	183	68	13	7	89	1	5
16017	124	53	9	5	49	0	8
16018	182	73	21	11	65	0	12
16019	152	77	8	11	44	4	8
16020	136	71	13	10	31	1	10
16021	156	58	15	8	64	2	9
16022	142	56	13	8	51	0	14
16023	140	68	22	5	33	1	11
16024	103	54	4	2	37	1	5
16025	219	91	21	32	60	4	11
16026	163	99	7	18	29	1	9
16027	140	50	5	43	39	0	3
16028	192	67	10	12	82	1	20
16029	141	55	7	11	57	1	10
16030	139	42	9	10	41	2	35
16031	184	78	9	8	74	4	11
16032	163	67	27	7	48	3	11
16033	149	52	10	17	51	2	17
16034	165	72	9	16	50	5	13
16035	192	85	24	4	67	2	10
16036	141	67	14	18	34	1	7
