Precinct	total_votes	votes|Ugo Okere	votes|Dianne Daleiden	votes|André Vasquez	votes|Patrick J. O'Connor	votes|Maggie O'Keefe
40001	287	15	44	25	167	36
40002	262	12	58	32	122	38
40003	405	55	52	104	125	69
40004	205	12	36	37	85	35
40005	368	63	41	55	130	79
40006	408	81	77	69	66	115
40007	382	54	92	58	123	55
40008	452	82	84	100	89	97
40009	252	21	34	47	125	25
40010	262	30	40	50	102	40
40011	405	54	61	65	131	94
40012	273	37	32	38	85	81
40013	519	218	71	82	90	58
40014	226	11	29	24	124	38
40015	283	25	66	33	136	23
40016	492	143	65	106	105	73
40017	336	27	44	87	129	49
40018	198	15	25	54	77	27
40019	372	47	47	61	172	45
40020	273	31	46	47	118	31
40021	445	42	103	118	129	53
40022	353	50	92	71	84	56
40023	476	61	91	165	101	58
40024	251	18	41	26	141	25
40025	416	74	92	64	90	96
40026	390	82	80	75	99	54
40027	424	39	62	156	127	40
40028	379	65	45	115	95	59
40029	362	31	62	54	191	24
40030	360	14	44	62	206	34
40031	402	59	102	71	84	86
40032	401	56	57	103	101	84
40033	394	85	109	65	95	40
40034	276	22	27	19	171	37
40035	208	12	40	32	92	32
40036	340	18	75	103	109	35
40037	292	18	50	101	81	42
40038	447	82	68	94	116	87
40039	77	9	12	15	33	8
