	Precinct	total_votes	votes|Yes	votes|No
0	6005	141	127	14
1	6023	102	89	13
2	6026	137	114	23
3	16033	134	117	17
4	17001	183	157	26
5	17002	178	156	22
6	17003	195	167	28
7	17004	243	213	30
8	17005	156	140	16
9	17006	149	134	15
10	17007	133	111	22
11	17008	138	106	32
12	17009	152	131	21
13	17010	266	224	42
14	17011	151	132	19
15	17012	223	188	35
16	17013	178	142	36
17	17014	211	176	35
18	17015	206	184	22
19	17016	161	136	25
20	17017	186	159	27
21	17018	230	198	32
22	17019	91	81	10
23	17020	260	240	20
24	17021	319	291	28
25	17022	164	142	22
26	17023	110	97	13
27	17024	246	209	37
28	17025	136	115	21
29	17026	223	187	36
30	17027	184	150	34
31	17028	160	137	23
32	17029	191	150	41
33	17030	127	106	21
34	17031	112	94	18
35	17032	147	123	24
36	17033	110	90	20
37	17034	133	113	20
38	17035	142	121	21
39	17036	196	167	29
40	17037	170	147	23
41	17038	179	164	15
42	17039	198	171	27
43	17040	218	191	27
44	17041	259	227	32
45	24005	77	68	9
46	24020	129	111	18
47	24030	92	88	4
48	28001	113	95	18
49	28002	176	156	20
50	28003	134	120	14
51	28004	165	126	39
52	28005	128	106	22
53	28006	149	114	35
54	28007	169	145	24
55	28008	200	151	49
56	28009	169	144	25
57	28010	246	193	53
58	28011	344	300	44
59	28012	161	131	30
60	28013	205	167	38
61	28014	150	135	15
62	28015	48	42	6
63	28016	106	96	10
64	28017	136	116	20
65	28018	135	120	15
66	28019	178	155	23
67	28020	165	144	21
68	28021	135	123	12
69	28022	161	150	11
70	28023	184	158	26
71	28024	158	140	18
72	28025	237	219	18
73	28026	162	142	20
74	28027	219	163	56
75	28028	261	186	75
76	28029	84	69	15
77	28030	28	25	3
78	28031	272	229	43
79	28032	160	125	35
80	28033	184	161	23
81	28034	241	214	27
82	28035	168	136	32
83	28036	96	85	11
84	28037	192	170	22
85	28038	68	56	12
86	28039	116	101	15
87	28040	216	181	35
88	28041	114	102	12
89	28042	159	132	27
90	28043	193	161	32
91	28044	112	100	12
92	28045	195	165	30
93	28046	358	298	60
94	29002	289	248	41
95	29003	220	189	31
96	29016	213	196	17
97	29026	252	231	21
98	29028	246	220	26
