Precinct	total_votes	votes|Marilyn Morales	votes|John S. Arena	votes|James ''Jim'' Gardiner	votes|Robert A. Bank
45001	250	23	194	31	2
45002	263	32	186	40	5
45003	299	30	175	88	6
45004	405	35	249	114	7
45005	339	32	190	108	9
45006	479	38	265	168	8
45007	461	42	200	212	7
45008	308	38	145	113	12
45009	299	46	144	103	6
45010	341	45	143	146	7
45011	216	17	108	89	2
45012	276	40	121	102	13
45013	313	22	174	106	11
45014	388	33	179	159	17
45015	441	35	194	202	10
45016	310	47	115	132	16
45017	377	25	171	153	28
45018	311	26	114	151	20
45019	154	23	72	54	5
45020	221	24	87	95	15
45021	324	34	91	192	7
45022	269	14	72	155	28
45023	316	37	81	178	20
45024	286	7	68	206	5
45025	243	16	51	172	4
45026	193	7	46	127	13
45027	330	29	82	210	9
45028	278	30	92	147	9
45029	230	19	74	124	13
45030	282	30	124	109	19
45031	257	31	104	107	15
45032	274	37	98	133	6
45033	235	30	91	106	8
45034	358	64	87	186	21
45035	400	42	125	221	12
45036	376	25	114	215	22
45037	322	28	91	164	39
45038	300	25	58	204	13
45039	329	31	62	217	19
45040	333	30	67	227	9
45041	311	18	55	234	4
45042	360	18	57	284	1
45043	362	10	98	242	12
45044	414	18	56	332	8
45045	241	15	41	177	8
45046	236	16	51	160	9
45047	243	11	55	173	4
45048	305	28	65	202	10
