Precinct	total_votes	votes|Joseph G. Williams	votes|Rafael ''Rafa'' Yanez	votes|Raymond A. Lopez	votes|Berto Aguayo	votes|Otis Davis, Jr.
15001	255	1	93	113	48	0
15002	157	46	9	89	1	12
15003	163	30	7	101	1	24
15004	236	4	73	99	57	3
15005	235	4	89	74	66	2
15006	245	2	79	124	38	2
15007	156	36	16	85	1	18
15008	216	2	57	79	78	0
15009	320	0	88	154	78	0
15010	341	4	84	173	78	2
15011	261	6	84	129	42	0
15012	288	6	85	151	46	0
15013	209	1	48	95	62	3
15014	197	2	59	63	73	0
15015	215	2	54	77	77	5
15016	256	1	35	184	30	6
15017	195	33	12	126	7	17
15018	147	45	11	81	2	8
15019	229	8	54	122	33	12
15020	169	44	10	99	3	13
15021	143	25	33	68	2	15
15022	176	38	11	98	4	25
15023	161	33	22	83	3	20
15024	143	40	3	74	3	23
