Precinct	total_votes	votes|Michael D. Rodriguez	votes|Lisette ''Liz'' Lopez	votes|Richard Juarez	votes|Neftalie Gonzalez
22001	126	87	18	10	11
22002	277	196	42	29	10
22003	272	142	40	65	25
22004	163	97	36	19	11
22005	190	144	17	18	11
22006	186	127	19	18	22
22007	144	73	32	28	11
22008	297	188	48	33	28
22009	154	98	26	15	15
22010	260	171	29	47	13
22011	158	106	29	10	13
22012	211	135	27	38	11
22013	180	108	27	22	23
22014	170	92	14	33	31
22015	151	73	28	19	31
22016	161	98	24	27	12
22017	218	154	19	30	15
22018	167	108	21	13	25
22019	84	57	8	8	11
22020	167	121	22	10	14
22021	219	145	29	22	23
22022	190	114	27	28	21
22023	283	216	26	19	22
22024	242	146	23	32	41
22025	195	108	44	17	26
