Precinct	total_votes	votes|Hilario Dominguez	votes|Alexander Acevedo	votes|Troy Antonio Hernandez	votes|Byron Sigcho-Lopez	votes|Aida Flores
25001	288	50	97	9	86	46
25002	321	79	62	17	109	54
25003	311	49	58	59	79	66
25004	263	34	47	28	106	48
25005	377	63	162	15	100	37
25006	128	47	25	8	39	9
25007	332	62	36	22	144	68
25008	350	99	88	13	104	46
25009	304	64	65	22	98	55
25010	313	45	75	73	51	69
25011	318	86	59	20	93	60
25012	326	81	71	11	110	53
25013	349	80	78	16	126	49
25014	214	59	28	12	72	43
25015	286	71	88	20	55	52
25016	319	56	56	77	64	66
25017	367	63	84	22	89	109
25018	360	64	40	13	194	49
25019	346	72	60	14	116	84
25020	180	31	61	12	50	26
25021	392	102	54	59	80	97
25022	286	65	72	12	91	46
25023	382	123	78	23	103	55
25024	376	54	46	32	125	119
25025	310	52	92	37	52	77
25026	306	46	121	13	87	39
25027	244	42	45	49	43	65
25028	326	86	55	20	108	57
25029	268	32	68	13	92	63
25030	310	63	72	15	101	59
25031	340	58	57	73	55	97
25032	278	78	82	6	63	49
