Precinct	total_votes	votes|Debra L. Silverstein	votes|Andrew D Rowlas	votes|Zehra Quadri
50001	297	233	46	18
50002	176	148	17	11
50003	279	233	30	16
50004	283	193	47	43
50005	223	185	24	14
50006	310	204	66	40
50007	355	198	95	62
50008	223	113	69	41
50009	234	135	69	30
50010	231	154	37	40
50011	208	193	5	10
50012	125	99	15	11
50013	232	104	63	65
50014	111	95	9	7
50015	356	197	105	54
50016	100	69	18	13
50017	210	137	33	40
50018	100	98	1	1
50019	148	60	30	58
50020	271	141	59	71
50021	233	136	61	36
50022	215	157	32	26
50023	174	128	11	35
50024	242	211	16	15
50025	262	203	44	15
50026	214	122	41	51
50027	102	60	19	23
50028	265	144	43	78
50029	167	91	27	49
50030	157	76	34	47
50031	244	119	61	64
50032	218	100	54	64
50033	266	223	27	16
50034	387	247	82	58
50035	336	212	74	50
50036	287	154	65	68
50037	264	138	85	41
50038	152	124	21	7
50039	148	101	24	23
50040	329	279	19	31
