Precinct	total_votes	votes|Raymond A. Lopez	votes|Rafael ''Rafa'' Yanez
15001	284	116	168
15002	157	130	27
15003	170	143	27
15004	253	123	130
15005	254	80	174
15006	261	128	133
15007	189	139	50
15008	250	116	134
15009	317	179	138
15010	338	200	138
15011	277	132	145
15012	302	172	130
15013	236	115	121
15014	205	85	120
15015	186	85	101
15016	294	227	67
15017	193	154	39
15018	148	109	39
15019	210	144	66
15020	190	133	57
15021	161	102	59
15022	170	142	28
15023	181	135	46
15024	168	131	37
