Precinct	total_votes	votes|Silvana Tabares	votes|Paulino Villarreal, Jr.
23001	291	223	68
23002	266	174	92
23003	273	217	56
23004	322	251	71
23005	213	164	49
23006	241	181	60
23007	173	138	35
23008	254	201	53
23009	160	120	40
23010	235	184	51
23011	217	159	58
23012	282	212	70
23013	148	116	32
23014	252	192	60
23015	165	114	51
23016	302	250	52
23017	114	73	41
23018	224	157	67
23019	144	83	61
23020	120	92	28
23021	297	238	59
23022	262	200	62
23023	259	193	66
23024	159	121	38
23025	167	131	36
23026	235	193	42
23027	277	222	55
23028	281	192	89
23029	247	204	43
23030	246	185	61
23031	157	112	45
23032	204	147	57
23033	195	157	38
23034	162	126	36
23035	193	133	60
23036	304	248	56
23037	316	259	57
23038	243	181	62
23039	199	159	40
