Precinct	total_votes	votes|Colin Bird-Martinez	votes|Milagros Santiago	votes|Felix Cardona Jr.
31001	142	42	47	53
31002	139	23	77	39
31003	171	37	76	58
31004	238	102	89	47
31005	206	54	102	50
31006	144	26	66	52
31007	252	105	110	37
31008	124	29	41	54
31009	132	21	63	48
31010	131	37	62	32
31011	122	22	56	44
31012	149	48	60	41
31013	166	37	88	41
31014	145	34	66	45
31015	149	30	67	52
31016	192	95	75	22
31017	155	17	73	65
31018	138	37	62	39
31019	154	23	42	89
31020	141	24	49	68
31021	158	43	74	41
31022	117	41	41	35
31023	163	54	58	51
31024	190	24	66	100
31025	124	16	37	71
31026	189	60	72	57
31027	192	29	75	88
31028	112	21	49	42
31029	186	38	80	68
31030	111	35	40	36
31031	153	36	61	56
31032	122	24	55	43
31033	125	23	47	55
31034	156	46	60	50
31035	181	46	62	73
31036	202	53	49	100
31037	143	34	53	56
31038	121	31	52	38
31039	162	73	60	29
31040	172	83	56	33
31041	150	46	70	34
