Precinct	total_votes	votes|Carrie M. Austin	votes|Preston Brown Jr
34001	257	142	115
34002	248	131	117
34003	231	139	92
34004	143	78	65
34005	195	112	83
34006	256	144	112
34007	281	175	106
34008	173	100	73
34009	167	106	61
34010	245	130	115
34011	168	90	78
34012	287	131	156
34013	234	108	126
34014	178	106	72
34015	193	108	85
34016	191	94	97
34017	293	160	133
34018	178	99	79
34019	253	140	113
34020	308	181	127
34021	296	170	126
34022	269	137	132
34023	195	98	97
34024	204	107	97
34025	340	197	143
34026	257	149	108
34027	183	91	92
34028	130	80	50
34029	182	112	70
34030	268	142	126
34031	191	100	91
34032	216	103	113
34033	181	107	74
34034	260	156	104
34035	268	110	158
34036	257	138	119
34037	122	53	69
34038	98	53	45
34039	131	77	54
34040	253	110	143
34041	150	59	91
34042	233	130	103
34043	261	144	117
34044	259	145	114
34045	252	142	110
34046	168	96	72
34047	210	112	98
34048	277	159	118
34049	229	115	114
34050	173	85	88
34051	277	164	113
34052	205	125	80
34053	126	66	60
