Precinct	total_votes	votes|Brian Hopkins
02001	211	211
02002	225	225
02003	249	249
02004	175	175
02005	243	243
02006	221	221
02007	206	206
02008	243	243
02009	172	172
02010	291	291
02011	328	328
02012	232	232
02013	251	251
02014	280	280
02015	211	211
02016	202	202
02017	305	305
02018	230	230
02019	233	233
02020	220	220
02021	267	267
02022	292	292
02023	235	235
02024	254	254
02025	252	252
02026	208	208
02027	237	237
02028	246	246
02029	242	242
02030	206	206
02031	345	345
02032	146	146
02033	403	403
02034	278	278
02035	232	232
02036	267	267
02037	270	270
02038	262	262
02039	195	195
02040	222	222
02041	183	183
02042	199	199
02043	281	281
02044	164	164
02045	264	264
02046	99	99
