Precinct	total_votes	votes|Jerry Joyce	votes|Paul Vallas	votes|Willie L. Wilson	votes|Toni Preckwinkle	votes|William M. Daley	votes|Garry Mccarthy	votes|Gery Chico	votes|Susana A. Mendoza	votes|Amara Enyia	votes|La Shawn K. Ford	votes|Neal Sales-Griffin	votes|Lori Lightfoot	votes|Robert ''Bob'' Fioretti	votes|John Kenneth Kozlar
01001	331	10	8	14	53	34	3	19	34	59	2	1	92	1	1
01002	250	10	8	19	39	30	2	14	29	37	2	1	57	2	0
01003	310	13	11	6	48	44	5	11	23	51	0	0	92	1	5
01004	307	13	22	5	53	49	9	13	31	32	2	1	69	4	4
01005	288	10	18	5	48	35	5	9	21	54	0	1	77	3	2
01006	291	15	14	5	25	53	8	20	39	43	0	1	66	0	2
01007	235	5	11	10	41	20	3	13	32	29	2	0	66	2	1
01008	280	10	13	22	51	38	6	9	34	25	1	1	59	1	10
01009	285	15	10	6	47	39	9	22	49	32	0	1	51	3	1
01010	297	8	13	5	44	45	9	12	29	32	0	1	98	1	0
01011	326	9	16	5	45	47	4	6	24	55	1	4	107	3	0
01012	361	10	16	4	55	32	9	23	38	49	4	0	115	4	2
01013	159	1	9	7	36	20	6	1	15	27	2	1	32	0	2
01014	300	9	11	9	50	51	8	7	22	28	10	0	93	2	0
01015	263	11	16	7	47	23	8	11	29	30	2	0	74	4	1
01016	362	13	13	1	68	43	3	20	50	40	0	0	108	2	1
01017	286	5	7	8	67	19	7	20	28	43	4	2	70	2	4
01018	307	11	9	14	62	23	3	26	30	59	1	0	67	2	0
01019	345	23	9	8	53	38	5	14	35	57	2	0	98	1	2
01020	240	5	9	7	41	13	2	11	24	62	0	4	60	2	0
01021	317	9	12	1	60	49	6	13	25	44	0	4	92	2	0
01022	200	4	3	6	33	33	1	13	24	28	0	0	51	2	2
01023	429	9	18	7	89	34	5	20	34	81	1	1	120	6	4
01024	248	10	7	6	59	20	3	15	38	39	3	3	40	5	0
01025	269	2	3	14	59	28	4	5	28	60	0	1	62	2	1
01026	198	5	5	6	37	26	3	16	23	35	2	1	35	2	2
01027	298	11	10	7	32	46	3	11	32	31	2	4	103	2	4
01028	107	8	1	18	19	18	2	6	15	4	0	0	13	1	2
01029	399	11	24	6	46	65	7	16	41	56	2	1	119	1	4
01030	335	6	12	11	65	54	6	21	39	46	1	0	72	2	0
01031	310	11	21	13	45	53	4	24	39	30	4	0	64	1	1
01032	316	7	26	4	39	44	7	10	35	50	2	1	83	6	2
01033	351	18	19	8	44	71	7	15	30	38	1	1	89	8	2
01034	232	8	9	5	41	15	5	10	23	42	1	0	71	1	1
01035	387	26	23	10	41	55	6	28	46	41	4	1	104	0	2
01036	301	10	25	4	45	44	6	15	24	35	1	1	84	4	3
01037	303	11	13	5	51	53	14	18	30	33	2	2	66	3	2
01038	269	11	13	4	43	35	5	13	34	29	2	3	75	1	1
01039	251	14	7	7	29	40	6	27	28	36	2	0	52	0	3
01040	334	10	20	23	32	64	8	26	59	25	1	1	57	7	1
01041	217	4	10	6	47	19	0	14	19	26	3	0	68	1	0
01042	99	6	5	0	20	9	1	6	11	22	2	1	14	0	2
01043	178	5	15	8	24	23	3	7	25	27	0	0	38	3	0
01044	260	5	12	5	47	23	3	7	20	47	7	1	75	1	7
02001	269	10	12	1	57	17	3	10	26	48	1	1	82	0	1
02002	276	7	23	10	30	90	12	11	14	4	0	0	71	2	2
02003	306	5	24	3	33	61	8	11	17	44	6	1	90	3	0
02004	228	7	10	1	39	20	4	1	29	31	3	0	81	1	1
02005	314	6	24	5	44	46	6	20	23	42	1	3	93	1	0
02006	264	13	17	7	33	23	8	11	32	46	2	4	63	1	4
02007	250	7	12	9	19	50	4	8	29	33	5	0	72	1	1
02008	283	16	10	5	33	41	4	18	28	40	3	4	79	0	2
02009	224	11	11	14	12	63	5	15	24	10	4	0	51	2	2
02010	343	12	29	3	26	160	10	20	14	5	1	0	58	5	0
02011	375	15	30	3	37	155	4	18	30	7	0	1	73	1	1
02012	311	11	21	32	45	77	4	9	19	14	1	1	74	2	1
02013	320	13	33	7	58	101	4	20	10	6	1	0	64	3	0
02014	353	12	20	12	48	44	7	11	27	57	2	3	105	4	1
02015	292	18	21	10	53	39	2	8	28	28	0	2	82	0	1
02016	240	8	13	6	42	31	3	8	26	18	2	1	71	5	6
02017	385	18	20	8	47	48	9	12	24	44	2	0	145	3	5
02018	290	6	22	7	49	100	10	10	23	15	0	1	46	1	0
02019	298	3	21	9	36	125	8	14	16	9	0	1	52	2	2
02020	256	5	20	2	18	71	5	12	20	16	0	0	77	5	5
02021	337	8	18	5	57	42	11	15	30	51	0	1	97	0	2
02022	368	6	36	10	39	118	14	12	33	16	1	0	80	1	2
02023	301	2	20	2	26	160	6	16	16	3	0	1	49	0	0
02024	309	12	24	11	42	95	9	11	26	13	0	3	59	1	3
02025	315	8	23	3	43	56	4	12	28	36	0	4	92	6	0
02026	264	11	20	15	29	83	8	10	17	9	3	0	54	2	3
02027	310	10	28	13	30	104	18	12	22	9	3	1	53	3	4
02028	308	15	27	8	36	76	8	21	21	16	0	2	75	1	2
02029	297	9	15	0	20	129	16	15	15	10	1	5	61	0	1
02030	257	5	26	4	23	88	18	15	17	3	1	0	55	2	0
02031	410	11	34	10	38	174	12	24	22	8	0	1	74	1	1
02032	184	10	13	3	24	38	11	5	15	14	1	1	48	1	0
02033	497	26	53	11	59	156	12	28	23	9	4	1	107	5	3
02034	338	8	30	3	33	170	7	19	9	5	1	0	53	0	0
02035	304	18	23	12	25	82	11	14	23	15	2	3	74	1	1
02036	318	8	26	7	36	97	20	10	30	7	1	1	72	1	2
02037	317	19	35	7	26	111	11	17	16	17	1	0	50	5	2
02038	315	11	36	7	23	133	16	11	18	5	0	3	52	0	0
02039	239	32	22	23	21	62	11	9	16	10	1	1	29	1	1
02040	307	14	20	6	39	78	9	27	38	16	0	3	52	3	2
02041	223	14	16	7	30	64	8	7	22	14	0	2	36	1	2
02042	262	6	13	5	44	84	10	10	17	23	4	2	40	4	0
02043	354	12	26	5	35	145	11	16	14	10	1	0	71	4	4
02044	198	14	19	3	19	59	4	9	21	7	0	0	43	0	0
