	Precinct	total_votes	votes|Yes	votes|No
0	5005	259	230	29
1	12015	190	163	27
2	12018	206	177	29
3	20001	260	233	27
4	20022	331	271	60
5	20023	215	194	21
6	22015	142	129	13
7	25012	305	268	37
8	25023	365	337	28
