Precinct	total_votes	votes|Derek Lindblom	votes|Michele Smith	votes|Leslie Fox	votes|Jacob Ringer	votes|Steven Mcclellan	votes|Rebecca Janowitz
43001	203	47	83	22	25	17	9
43002	323	98	118	39	47	7	14
43003	352	120	122	38	55	6	11
43004	328	101	121	44	37	9	16
43005	309	89	134	30	48	5	3
43006	208	89	47	22	35	1	14
43007	251	61	93	42	36	6	13
43008	248	62	107	48	20	3	8
43009	389	89	148	41	89	8	14
43010	438	154	167	48	59	3	7
43011	280	90	105	30	37	4	14
43012	217	55	90	38	19	6	9
43013	291	59	114	57	38	6	17
43014	434	128	169	21	65	50	1
43015	310	83	120	48	34	9	16
43016	312	97	93	35	54	8	25
43017	274	81	113	39	28	4	9
43018	397	129	151	56	40	4	17
43019	375	105	121	40	74	13	22
43020	377	109	122	60	56	8	22
43021	322	128	83	48	48	7	8
43022	226	74	75	31	34	5	7
43023	215	55	80	30	39	3	8
43024	266	52	126	40	19	4	25
43025	307	74	136	41	37	8	11
43026	269	89	127	33	10	3	7
43027	369	133	116	39	65	5	11
43028	378	66	190	60	16	9	37
43029	329	106	111	49	44	6	13
43030	343	116	115	45	43	8	16
43031	352	92	147	50	38	7	18
43032	352	98	136	60	31	10	17
43033	361	70	200	40	20	2	29
43034	253	39	117	57	25	4	11
43035	385	74	203	48	16	5	39
43036	145	32	49	26	27	4	7
43037	298	90	77	55	47	9	20
43038	316	71	168	31	18	2	26
43039	257	71	104	39	20	10	13
43040	195	47	67	34	36	4	7
43041	436	145	151	65	58	4	13
43042	310	83	107	55	39	13	13
43043	348	76	156	29	27	6	54
43044	319	86	119	51	50	7	6
43045	238	46	119	20	49	1	3
43046	168	54	69	18	24	2	1
