Precinct	total_votes	votes|Brendan Reilly
42001	292	292
42002	207	207
42003	221	221
42004	379	379
42005	208	208
42006	349	349
42007	312	312
42008	269	269
42009	215	215
42010	284	284
42011	248	248
42012	233	233
42013	355	355
42014	241	241
42015	223	223
42016	238	238
42017	313	313
42018	157	157
42019	368	368
42020	243	243
42021	208	208
42022	111	111
42023	293	293
42024	262	262
42025	215	215
42026	321	321
42027	221	221
42028	374	374
42029	258	258
42030	299	299
42031	305	305
42032	231	231
42033	260	260
42034	259	259
42035	298	298
42036	280	280
42037	183	183
42038	243	243
42039	265	265
42040	299	299
42041	240	240
42042	349	349
