Precinct	total_votes	votes|Marianne Lalonde	votes|Erika Wozniak Francis	votes|Justin Kreindler	votes|James Cappleman	votes|Angela Clay	votes|Jon-Robert Mcdowell
46001	307	59	53	15	125	51	4
46002	325	61	53	14	147	49	1
46003	434	126	57	35	173	40	3
46004	339	51	36	6	205	37	4
46005	363	53	95	19	134	50	12
46006	290	64	42	5	118	57	4
46007	443	69	62	7	253	45	7
46008	265	27	41	4	121	67	5
46009	389	62	55	8	200	54	10
46010	427	103	73	32	159	54	6
46011	331	62	62	13	131	56	7
46012	410	58	79	14	154	100	5
46013	318	45	61	8	160	35	9
46014	324	26	38	3	136	118	3
46015	301	44	42	4	175	31	5
46016	430	82	71	5	191	76	5
46017	436	82	68	15	224	39	8
46018	372	66	56	26	171	44	9
46019	270	41	38	18	148	20	5
46020	294	44	35	9	132	72	2
46021	199	58	29	9	80	22	1
46022	284	93	66	2	43	76	4
46023	290	27	82	3	106	72	0
46024	400	80	63	22	186	39	10
46025	355	35	46	6	149	117	2
46026	345	66	43	6	117	111	2
46027	428	58	102	14	173	73	8
46028	407	85	62	18	211	21	10
46029	302	35	48	8	175	29	7
46030	325	62	50	39	127	44	3
46031	296	74	75	17	99	27	4
46032	396	76	48	3	150	112	7
46033	380	65	69	27	193	23	3
46034	399	77	99	15	149	49	10
46035	362	51	57	11	193	45	5
46036	358	69	69	29	153	31	7
46037	278	40	46	9	123	57	3
46038	270	51	44	13	121	35	6
46039	325	97	47	34	115	22	10
46040	334	70	62	0	162	27	13
