Precinct	total_votes	votes|Edward M. Burke	votes|Jaime Guzman	votes|Tanya G. Patino
14001	438	315	41	82
14002	342	161	53	128
14003	210	90	50	70
14004	334	238	45	51
14005	323	156	65	102
14006	118	72	10	36
14007	263	106	59	98
14008	271	103	73	95
14009	374	246	45	83
14010	160	79	32	49
14011	158	102	15	41
14012	266	127	68	71
14013	235	147	32	56
14014	245	154	30	61
14015	244	108	67	69
14016	191	112	33	46
14017	209	100	24	85
14018	120	64	22	34
14019	218	138	21	59
14020	142	64	23	55
14021	214	78	32	104
14022	328	183	64	81
14023	221	148	26	47
14024	392	282	40	70
14025	138	62	13	63
14026	164	77	31	56
14027	265	132	42	91
14028	176	81	42	53
14029	218	114	19	85
14030	125	39	32	54
14031	119	39	32	48
