Precinct	total_votes	votes|Dwayne Truss	votes|Chris Taliaferro	votes|Zerlina A. Smith
29001	358	32	307	19
29002	304	75	167	62
29003	228	81	90	57
29004	264	124	117	23
29005	155	68	73	14
29006	171	49	88	34
29007	254	37	194	23
29008	153	42	78	33
29009	334	34	273	27
29010	375	46	309	20
29011	141	57	61	23
29012	307	54	224	29
29013	255	99	126	30
29014	221	64	95	62
29015	253	73	151	29
29016	225	95	80	50
29017	209	126	64	19
29018	222	90	105	27
29019	229	67	130	32
29020	244	81	109	54
29021	245	97	94	54
29022	200	73	90	37
29023	280	31	227	22
29024	211	82	101	28
29025	303	137	138	28
29026	259	70	152	37
29027	198	81	96	21
29028	256	47	118	91
29029	250	18	216	16
29030	366	53	255	58
29031	208	12	179	17
29032	216	18	182	16
29033	208	72	112	24
29034	171	46	93	32
29035	162	65	67	30
29036	208	58	129	21
29037	212	84	91	37
29038	214	24	169	21
29039	238	19	192	27
29040	279	116	128	35
29041	180	93	72	15
29042	242	74	118	50
29043	316	51	236	29
29044	295	100	139	56
