Precinct	total_votes	votes|John J. Cullerton
01028	116	116
01042	52	52
02020	59	59
02022	497	497
02024	430	430
02026	417	417
02028	525	525
02030	386	386
02031	515	515
02033	651	651
02035	602	602
02037	438	438
02038	133	133
02044	290	290
27009	0	0
27012	284	284
27046	303	303
32001	396	396
32005	29	29
32007	532	532
32008	607	607
32009	460	460
32010	496	496
32013	514	514
32015	484	484
32016	505	505
32018	438	438
32019	515	515
32021	528	528
32023	537	537
32024	360	360
32025	515	515
32027	463	463
32029	131	131
32030	498	498
32033	241	241
32034	67	67
32036	14	14
32037	284	284
32038	458	458
32039	527	527
32040	551	551
32041	523	523
32042	453	453
33003	107	107
33005	97	97
33008	631	631
33010	457	457
33020	61	61
33023	540	540
33024	627	627
43002	549	549
43004	562	562
43006	403	403
43008	366	366
43009	501	501
43012	362	362
43013	493	493
43014	479	479
43015	488	488
43016	594	594
43017	379	379
43018	576	576
43019	563	563
43020	563	563
43021	539	539
43022	361	361
43024	372	372
43025	390	390
43026	329	329
43027	465	465
43028	633	633
43029	477	477
43030	548	548
43031	487	487
43032	518	518
43033	463	463
43034	361	361
43036	294	294
43037	575	575
43038	347	347
43039	485	485
43040	370	370
43041	641	641
43042	497	497
43043	427	427
43044	471	471
43046	297	297
44001	853	853
44002	538	538
44003	321	321
44004	466	466
44005	657	657
44006	701	701
44007	348	348
44008	779	779
44009	551	551
44010	556	556
44011	588	588
44012	580	580
44013	453	453
44014	512	512
44015	491	491
44016	617	617
44017	749	749
44018	609	609
44019	674	674
44020	611	611
44021	720	720
44022	575	575
44023	563	563
44024	394	394
44025	557	557
44026	684	684
44027	662	662
44028	541	541
44029	577	577
44030	678	678
44031	478	478
44032	610	610
44033	628	628
44034	612	612
44035	648	648
44036	597	597
44037	627	627
44038	548	548
44039	585	585
44040	493	493
44041	716	716
46003	619	619
46005	690	690
46007	531	531
46009	583	583
46010	852	852
46011	484	484
46013	502	502
46015	515	515
46017	584	584
46018	578	578
46019	370	370
46024	616	616
46026	262	262
46027	672	672
46028	483	483
46029	381	381
46030	554	554
46031	545	545
46033	629	629
46034	610	610
46035	580	580
46036	494	494
46038	568	568
46039	509	509
47001	355	355
47002	518	518
47003	477	477
47004	564	564
47005	110	110
47006	652	652
47007	472	472
47008	501	501
47009	500	500
47011	513	513
47012	565	565
47013	523	523
47014	464	464
47016	521	521
47017	519	519
47018	490	490
47021	514	514
47024	548	548
47025	629	629
47027	500	500
47028	37	37
47029	587	587
47033	502	502
47035	511	511
47039	523	523
47040	528	528
47041	85	85
47043	484	484
47044	496	496
47046	492	492
47047	608	608
47048	41	41
