Precinct	total_votes	votes|Steven Landek
12016	4	4
13026	0	0
13045	45	45
22003	163	163
22004	67	67
22005	85	85
22006	99	99
22007	78	78
22009	92	92
22010	3	3
22011	93	93
22013	50	50
22015	17	17
22016	2	2
22017	98	98
22018	40	40
22020	102	102
22024	128	128
22025	117	117
Berwyn Ward 1 Precinct 1	156	156
Berwyn Ward 1 Precinct 2	161	161
Berwyn Ward 1 Precinct 3	248	248
Berwyn Ward 1 Precinct 4	165	165
Berwyn Ward 1 Precinct 5	161	161
Berwyn Ward 2 Precinct 1	102	102
Berwyn Ward 2 Precinct 2	156	156
Berwyn Ward 2 Precinct 3	209	209
Berwyn Ward 2 Precinct 4	223	223
Berwyn Ward 3 Precinct 1	153	153
Berwyn Ward 3 Precinct 2	125	125
Berwyn Ward 3 Precinct 3	141	141
Berwyn Ward 3 Precinct 4	166	166
Berwyn Ward 3 Precinct 5	239	239
Berwyn Ward 4 Precinct 1	96	96
Berwyn Ward 4 Precinct 2	176	176
Berwyn Ward 4 Precinct 3	193	193
Berwyn Ward 4 Precinct 4	140	140
Berwyn Ward 5 Precinct 1	266	266
Berwyn Ward 5 Precinct 2	147	147
Berwyn Ward 5 Precinct 3	140	140
Berwyn Ward 6 Precinct 1	85	85
Berwyn Ward 6 Precinct 2	124	124
Berwyn Ward 6 Precinct 3	153	153
Berwyn Ward 6 Precinct 4	182	182
Berwyn Ward 7 Precinct 3	181	181
Berwyn Ward 8 Precinct 2	146	146
Cicero 1	145	145
Cicero 2	76	76
Cicero 3	136	136
Cicero 4	98	98
Cicero 5	244	244
Cicero 7	67	67
Cicero 8	98	98
Cicero 9	142	142
Cicero 10	167	167
Cicero 11	150	150
Cicero 12	147	147
Cicero 13	45	45
Cicero 14	132	132
Cicero 15	163	163
Cicero 16	93	93
Cicero 17	134	134
Cicero 18	91	91
Cicero 19	198	198
Cicero 21	144	144
Cicero 22	141	141
Cicero 23	213	213
Cicero 24	132	132
Cicero 25	159	159
Cicero 26	112	112
Cicero 27	132	132
Cicero 28	151	151
Cicero 29	132	132
Cicero 30	114	114
Cicero 31	81	81
Cicero 32	127	127
Lyons 2	165	165
Lyons 4	318	318
Lyons 6	135	135
Lyons 7	221	221
Lyons 8	121	121
Lyons 10	206	206
Lyons 25	60	60
Lyons 29	119	119
Lyons 33	77	77
Lyons 34	76	76
Lyons 35	125	125
Lyons 45	271	271
Lyons 48	215	215
Lyons 51	146	146
Lyons 58	95	95
Lyons 65	257	257
Lyons 67	179	179
Lyons 68	124	124
Lyons 71	75	75
Lyons 75	123	123
Lyons 76	18	18
Proviso 27	229	229
Proviso 29	254	254
Proviso 75	138	138
Proviso 89	159	159
Proviso 90	331	331
Riverside 1	252	252
Riverside 5	150	150
Riverside 8	268	268
Riverside 9	203	203
Riverside 10	245	245
Riverside 11	254	254
Stickney 4	190	190
Stickney 6	260	260
Stickney 7	96	96
Stickney 8	136	136
Stickney 9	71	71
Stickney 12	35	35
Stickney 13	157	157
Stickney 17	64	64
Stickney 18	75	75
