Precinct	total_votes	votes|Napoleon B. Harris, III
09003	234	234
09004	69	69
09007	267	267
09011	220	220
09015	353	353
09016	299	299
09018	236	236
09026	357	357
09028	121	121
09031	17	17
09033	252	252
09041	268	268
09044	231	231
09045	263	263
Bloom 1	260	260
Bloom 2	478	478
Bloom 6	6	6
Bloom 7	419	419
Bloom 8	373	373
Bloom 9	232	232
Bloom 10	177	177
Bloom 11	224	224
Bloom 20	400	400
Bloom 21	112	112
Bloom 24	587	587
Bloom 26	4	4
Bloom 29	163	163
Bloom 30	548	548
Bloom 33	400	400
Bloom 34	275	275
Bloom 37	293	293
Bloom 40	304	304
Bloom 45	665	665
Bloom 47	551	551
Bloom 48	371	371
Bloom 49	502	502
Bloom 60	406	406
Bremen 1	383	383
Bremen 2	389	389
Bremen 4	353	353
Bremen 5	244	244
Bremen 6	272	272
Bremen 7	262	262
Bremen 10	178	178
Bremen 12	337	337
Bremen 14	289	289
Bremen 15	256	256
Bremen 18	455	455
Bremen 21	456	456
Bremen 25	224	224
Bremen 26	385	385
Bremen 28	255	255
Bremen 37	224	224
Bremen 41	220	220
Bremen 42	416	416
Bremen 43	281	281
Bremen 44	364	364
Bremen 45	205	205
Bremen 52	272	272
Bremen 55	334	334
Bremen 61	317	317
Bremen 62	387	387
Bremen 74	395	395
Bremen 75	507	507
Rich 11	489	489
Rich 34	521	521
Thornton 4	525	525
Thornton 6	549	549
Thornton 7	426	426
Thornton 8	423	423
Thornton 15	403	403
Thornton 20	252	252
Thornton 21	610	610
Thornton 22	415	415
Thornton 23	390	390
Thornton 24	462	462
Thornton 25	411	411
Thornton 26	390	390
Thornton 27	560	560
Thornton 28	323	323
Thornton 29	254	254
Thornton 30	253	253
Thornton 31	54	54
Thornton 32	313	313
Thornton 33	401	401
Thornton 34	635	635
Thornton 36	217	217
Thornton 37	455	455
Thornton 39	334	334
Thornton 40	319	319
Thornton 41	297	297
Thornton 42	294	294
Thornton 44	290	290
Thornton 45	396	396
Thornton 46	478	478
Thornton 48	399	399
Thornton 49	227	227
Thornton 52	423	423
Thornton 53	302	302
Thornton 54	663	663
Thornton 55	313	313
Thornton 59	311	311
Thornton 60	274	274
Thornton 64	405	405
Thornton 66	670	670
Thornton 67	536	536
Thornton 69	310	310
Thornton 70	215	215
Thornton 71	245	245
Thornton 72	435	435
Thornton 73	622	622
Thornton 74	445	445
Thornton 75	423	423
Thornton 76	471	471
Thornton 77	662	662
Thornton 80	407	407
Thornton 81	405	405
Thornton 82	297	297
Thornton 83	575	575
Thornton 84	595	595
Thornton 86	388	388
Thornton 87	597	597
Thornton 88	422	422
Thornton 89	609	609
Thornton 90	472	472
Thornton 91	433	433
Thornton 92	477	477
Thornton 93	293	293
Thornton 95	324	324
Thornton 96	332	332
Thornton 97	170	170
Thornton 98	161	161
Thornton 100	260	260
Thornton 101	364	364
Thornton 102	234	234
Thornton 103	252	252
Thornton 104	167	167
Thornton 105	384	384
Thornton 106	309	309
Thornton 108	244	244
Thornton 109	303	303
Thornton 110	269	269
Thornton 111	315	315
Thornton 112	223	223
Thornton 113	216	216
Thornton 115	432	432
Thornton 116	450	450
Thornton 118	424	424
Thornton 119	407	407
Thornton 121	336	336
Thornton 122	583	583
Thornton 123	311	311
