Precinct	Votes	votes|Yes	pct|Yes	votes|No	pct|No
35001	472	336	71.19	136	28.81
35002	518	362	69.88	156	30.12
35003	413	316	76.51	97	23.49
35004	433	280	64.67	153	35.33
35005	419	300	71.6	119	28.4
35006	423	313	74.0	110	26.0
35007	479	363	75.78	116	24.22
35008	490	358	73.06	132	26.94
35009	371	261	70.35	110	29.65
35010	613	461	75.2	152	24.8
35011	509	363	71.32	146	28.68
35012	284	195	68.66	89	31.34
35013	289	210	72.66	79	27.34
35014	293	196	66.89	97	33.11
35015	562	431	76.69	131	23.31
35016	232	157	67.67	75	32.33
35017	517	398	76.98	119	23.02
35018	276	188	68.12	88	31.88
35019	224	161	71.88	63	28.13
35020	385	273	70.91	112	29.09
35021	397	297	74.81	100	25.19
35022	547	409	74.77	138	25.23
35023	448	283	63.17	165	36.83
35024	404	255	63.12	149	36.88
35025	540	424	78.52	116	21.48
35026	397	268	67.51	129	32.49
35027	377	260	68.97	117	31.03
35028	436	305	69.95	131	30.05
35029	373	262	70.24	111	29.76
35030	412	297	72.09	115	27.91
35031	468	320	68.38	148	31.62
46001	416	277	66.59	139	33.41
46002	523	368	70.36	155	29.64
46003	672	456	67.86	216	32.14
46004	516	340	65.89	176	34.11
46005	751	488	64.98	263	35.02
46006	428	298	69.63	130	30.37
46007	578	370	64.01	208	35.99
46008	354	267	75.42	87	24.58
46009	619	430	69.47	189	30.53
46010	907	644	71.0	263	29.0
46011	507	379	74.75	128	25.25
46012	622	466	74.92	156	25.08
46013	539	351	65.12	188	34.88
46014	494	397	80.36	97	19.64
46015	558	391	70.07	167	29.93
46016	660	466	70.61	194	29.39
46017	623	435	69.82	188	30.18
46018	593	416	70.15	177	29.85
46019	373	258	69.17	115	30.83
46020	458	322	70.31	136	29.69
46021	351	266	75.78	85	24.22
46022	431	361	83.76	70	16.24
46023	438	317	72.37	121	27.63
46024	655	462	70.53	193	29.47
46025	534	362	67.79	172	32.21
46026	637	485	76.14	152	23.86
46027	733	538	73.4	195	26.6
46028	548	339	61.86	209	38.14
46029	459	313	68.19	146	31.81
46030	575	437	76.0	138	24.0
46031	556	404	72.66	152	27.34
46032	521	391	75.05	130	24.95
46033	674	442	65.58	232	34.42
46034	659	470	71.32	189	28.68
46035	617	455	73.74	162	26.26
46036	546	335	61.36	211	38.64
46037	468	370	79.06	98	20.94
46038	567	402	70.9	165	29.1
46039	535	363	67.85	172	32.15
46040	457	299	65.43	158	34.57
49001	323	218	67.49	105	32.51
49002	370	262	70.81	108	29.19
49003	569	373	65.55	196	34.45
49004	644	433	67.24	211	32.76
49005	519	330	63.58	189	36.42
49006	487	305	62.63	182	37.37
49007	531	332	62.52	199	37.48
49008	389	226	58.1	163	41.9
49009	550	367	66.73	183	33.27
49010	505	322	63.76	183	36.24
49011	598	375	62.71	223	37.29
49012	699	455	65.09	244	34.91
49013	589	372	63.16	217	36.84
49014	427	274	64.17	153	35.83
49015	365	204	55.89	161	44.11
49016	511	316	61.84	195	38.16
49017	331	204	61.63	127	38.37
49018	696	509	73.13	187	26.87
49019	465	291	62.58	174	37.42
49020	766	550	71.8	216	28.2
49021	275	156	56.73	119	43.27
49022	484	299	61.78	185	38.22
49023	700	534	76.29	166	23.71
49024	413	265	64.16	148	35.84
49025	683	491	71.89	192	28.11
49026	574	397	69.16	177	30.84
49027	598	408	68.23	190	31.77
49028	713	523	73.35	190	26.65
49029	662	489	73.87	173	26.13
49030	572	350	61.19	222	38.81
49031	425	246	57.88	179	42.12
49032	495	335	67.68	160	32.32
49033	421	271	64.37	150	35.63
