Precinct	total_votes	votes|Maria M. Barlow	votes|Stanley S. Moore	votes|Marcel Bright	votes|Gaylon Alcaraz
Thornton 19	198	76	79	15	28
Thornton 35	296	124	128	19	25
Thornton 38	272	95	141	22	14
Thornton 43	144	66	46	14	18
Thornton 47	107	57	28	9	13
Thornton 48	195	65	110	19	1
Thornton 50	133	63	51	11	8
Thornton 51	117	50	34	10	23
Thornton 53	126	46	63	11	6
Thornton 55	152	47	88	11	6
Thornton 56	166	69	61	22	14
Thornton 57	92	50	25	9	8
Thornton 58	207	84	100	14	9
Thornton 61	118	54	42	13	9
Thornton 62	48	25	16	1	6
Thornton 63	107	43	48	9	7
Thornton 64	261	104	134	20	3
Thornton 65	181	88	52	14	27
Thornton 68	181	77	67	17	20
Thornton 74	191	71	100	11	9
Thornton 78	240	93	114	21	12
Thornton 79	247	108	92	25	22
Thornton 85	197	73	108	9	7
Thornton 87	332	122	186	18	6
Thornton 94	257	108	128	9	12
Thornton 99	159	59	64	13	23
Thornton 107	382	114	212	34	22
Thornton 114	186	84	74	12	16
Thornton 117	178	63	93	15	7
Thornton 120	372	160	175	22	15
Worth 29	179	75	75	16	13
Worth 31	71	19	35	7	10
Worth 37	164	62	79	10	13
Worth 38	268	113	115	22	18
Worth 80	240	97	91	25	27
