Precinct	total_votes	votes|Richard Gonzalez	votes|Sol A. Flores	votes|Jesus ''Chuy'' Garcia
01001	240	22	67	151
01002	183	22	46	115
01007	158	13	39	106
01009	225	50	55	120
01013	112	12	44	56
01015	185	27	43	115
01016	248	16	80	152
01017	221	23	54	144
01018	256	32	71	153
01019	281	12	101	168
01020	202	25	58	119
01022	165	15	50	100
01023	349	23	121	205
01024	215	26	52	137
01025	199	17	57	125
01026	151	14	27	110
01027	228	17	91	120
01029	252	31	87	134
01030	286	43	71	172
01031	256	39	60	157
01034	210	9	69	132
01038	194	18	49	127
01041	168	19	51	98
01042	69	3	20	46
01043	146	15	51	80
01044	216	16	77	123
11003	200	13	29	158
11037	1	0	0	1
11038	112	7	19	86
12002	185	7	22	156
12003	61	7	9	45
12005	136	19	15	102
12006	190	16	16	158
12007	175	10	17	148
12008	224	28	20	176
12010	182	6	22	154
12011	191	15	12	164
12012	193	14	17	162
12013	214	26	18	170
12014	180	6	5	169
12015	78	6	7	65
12016	151	14	7	130
12017	199	17	15	167
12018	123	11	7	105
12019	0	0	0	0
12020	211	17	23	171
12021	204	17	33	154
12022	163	10	2	151
14002	249	40	27	182
14003	168	18	10	140
14005	242	24	16	202
14006	92	22	4	66
14010	131	24	12	95
14011	105	30	9	66
14013	182	37	29	116
14014	209	34	19	156
14015	202	24	15	163
14016	148	19	16	113
14017	167	23	12	132
14019	199	26	11	162
14020	129	12	8	109
14025	125	22	6	97
14027	192	27	13	152
14028	136	22	14	100
14030	111	12	5	94
14031	107	9	4	94
15001	3	1	0	2
15004	181	5	16	160
15005	109	7	9	93
15006	163	13	16	134
15008	97	7	7	83
15009	223	14	18	191
15010	223	21	17	185
15011	182	17	20	145
15012	192	12	22	158
15015	46	3	4	39
16001	96	11	6	79
22003	270	14	23	233
22004	158	4	10	144
22005	166	7	8	151
22006	182	13	12	157
22007	136	10	9	117
22009	143	6	5	132
22010	244	15	12	217
22011	193	7	13	173
22013	179	16	9	154
22014	73	3	4	66
22015	131	4	15	112
22016	134	9	14	111
22017	207	7	8	192
22018	152	14	10	128
22019	30	3	2	25
22020	174	8	9	157
22022	150	10	11	129
22024	205	7	12	186
22025	186	4	14	168
23009	88	9	7	72
23013	148	13	10	125
23015	35	1	4	30
23024	154	13	13	128
23026	15	5	3	7
23034	86	7	7	72
23039	164	17	9	138
24016	153	9	18	126
25001	230	31	35	164
25002	248	11	42	195
25005	253	18	45	190
25007	241	10	27	204
25008	266	11	23	232
25009	216	15	26	175
25011	257	9	35	213
25012	230	13	35	182
25013	273	7	27	239
25014	18	0	4	14
25015	211	20	29	162
25017	283	13	45	225
25019	264	6	34	224
25022	224	12	28	184
25023	304	16	38	250
25024	243	7	36	200
25026	212	17	24	171
25027	19	0	1	18
25028	264	8	32	224
25030	231	6	26	199
25032	205	14	19	172
26001	95	8	20	67
26002	172	18	36	118
26005	165	16	49	100
26006	143	25	21	97
26007	177	13	62	102
26008	89	15	16	58
26009	168	23	26	119
26010	45	4	13	28
26011	172	25	34	113
26012	180	28	51	101
26013	84	12	6	66
26014	126	8	16	102
26015	87	12	5	70
26016	81	12	17	52
26018	112	13	22	77
26020	164	17	48	99
26022	76	10	10	56
26023	109	13	19	77
26024	159	20	28	111
26025	158	21	35	102
26026	102	9	30	63
26027	148	24	33	91
26029	104	18	23	63
26030	146	17	41	88
26031	83	9	11	63
26033	8	0	3	5
26034	231	19	65	147
26035	173	29	39	105
26036	44	7	9	28
26037	174	20	45	109
26038	70	13	8	49
26039	83	5	23	55
26040	113	19	25	69
26041	182	35	58	89
26042	135	17	35	83
26043	87	11	16	60
26044	106	16	21	69
26045	48	6	8	34
26047	89	7	18	64
26048	156	15	40	101
26049	79	11	14	54
28019	1	0	0	1
29001	15	6	1	8
29009	257	58	50	149
29023	171	31	41	99
29030	288	66	39	183
29038	156	26	35	95
29039	77	18	20	39
29043	95	13	21	61
30001	210	29	62	119
30002	146	27	35	84
30003	150	8	61	81
30004	147	26	32	89
30005	105	16	10	79
30006	130	25	15	90
30007	166	25	39	102
30008	231	28	43	160
30009	118	17	26	75
30010	150	24	30	96
30011	128	18	21	89
30012	107	10	20	77
30013	138	7	32	99
30014	91	14	8	69
30015	51	4	16	31
30016	57	6	11	40
30017	100	22	20	58
30018	199	22	55	122
30019	143	19	15	109
30020	185	23	52	110
30022	237	21	57	159
30023	161	15	53	93
30024	234	11	69	154
30025	259	32	80	147
30026	103	15	23	65
30027	100	12	16	72
30028	218	27	60	131
30029	89	13	7	69
30030	51	9	6	36
30031	104	18	28	58
30032	156	13	38	105
31001	97	12	16	69
31002	107	10	19	78
31003	89	21	12	56
31004	205	25	47	133
31005	148	22	30	96
31006	90	14	13	63
31007	218	13	65	140
