Precinct	total_votes	votes|Marcus C. Evans, Jr.
07026	282	282
07027	270	270
07028	232	232
07029	289	289
07030	198	198
07032	199	199
07036	410	410
07037	23	23
07038	284	284
07039	315	315
07040	282	282
07041	335	335
07042	290	290
07043	342	342
07044	287	287
07045	316	316
08003	412	412
08004	410	410
08005	406	406
08006	378	378
08007	408	408
08008	349	349
08010	460	460
08011	288	288
08012	311	311
08014	247	247
08015	243	243
08017	320	320
08018	320	320
08019	390	390
08023	311	311
08024	223	223
08025	353	353
08027	403	403
08029	408	408
08030	370	370
08033	338	338
08035	400	400
08036	399	399
08037	300	300
08038	232	232
08040	276	276
08041	412	412
08044	247	247
08045	226	226
08046	293	293
08048	337	337
08049	340	340
08050	356	356
08051	398	398
08052	450	450
08053	208	208
08054	102	102
08056	367	367
10002	272	272
10003	276	276
10005	224	224
10009	235	235
10013	263	263
10014	5	5
10015	627	627
10016	217	217
10017	358	358
10021	3	3
10023	33	33
10024	263	263
10027	17	17
10033	2	2
Bloom 5	290	290
Bloom 14	589	589
Bloom 16	423	423
Bloom 18	303	303
Bloom 22	345	345
Bloom 36	591	591
Bloom 38	419	419
Bloom 41	595	595
Bloom 43	450	450
Bloom 44	457	457
Bloom 53	154	154
Bloom 55	348	348
Thornton 2	203	203
Thornton 3	399	399
Thornton 5	319	319
Thornton 10	403	403
Thornton 11	226	226
Thornton 12	340	340
Thornton 13	366	366
Thornton 14	427	427
Thornton 16	379	379
Thornton 17	294	294
Thornton 18	530	530
Thornton 43	327	327
Thornton 47	304	304
Thornton 50	332	332
Thornton 51	322	322
Thornton 56	393	393
Thornton 57	277	277
Thornton 58	459	459
Thornton 61	282	282
Thornton 62	85	85
Thornton 65	494	494
Thornton 68	400	400
Thornton 79	551	551
