Precinct	total_votes	votes|Michael J. Madigan
13001	155	155
13002	172	172
13003	128	128
13004	170	170
13005	201	201
13006	179	179
13007	129	129
13008	128	128
13009	132	132
13010	151	151
13011	185	185
13012	143	143
13013	199	199
13014	143	143
13015	281	281
13016	102	102
13017	139	139
13018	121	121
13019	139	139
13020	106	106
13021	167	167
13022	179	179
13023	124	124
13024	176	176
13025	148	148
13026	146	146
13027	176	176
13028	149	149
13029	133	133
13030	152	152
13031	188	188
13032	135	135
13033	176	176
13034	276	276
13035	200	200
13036	101	101
13037	204	204
13038	152	152
13039	179	179
13040	185	185
13041	173	173
13042	167	167
13043	190	190
13044	226	226
13045	186	186
13046	208	208
13047	184	184
13048	174	174
14003	124	124
14006	17	17
14010	0	0
14011	83	83
14015	161	161
14018	64	64
14022	135	135
14023	33	33
18015	161	161
18043	98	98
18046	113	113
23001	91	91
23002	128	128
23004	163	163
23005	141	141
23006	30	30
23007	121	121
23008	161	161
23009	128	128
23010	173	173
23011	148	148
23013	107	107
23014	9	9
23015	116	116
23017	28	28
23018	112	112
23020	72	72
23022	89	89
23023	128	128
23024	45	45
23025	29	29
23026	134	134
23028	138	138
23029	127	127
23030	174	174
23032	135	135
23033	136	136
23034	123	123
23035	86	86
23038	114	114
23039	137	137
Stickney 3	196	196
Stickney 12	3	3
Stickney 20	129	129
