Precinct	total_votes	votes|Melissa Conyears-Ervin
01008	345	345
01011	60	60
01012	565	565
01021	76	76
01032	123	123
01033	39	39
01037	204	204
02001	347	347
02006	489	489
02007	455	455
02008	574	574
02015	407	407
02017	493	493
02020	449	449
02025	523	523
24017	14	14
24019	321	321
24020	213	213
24032	134	134
24041	194	194
26004	55	55
26017	249	249
26019	93	93
26028	371	371
26046	221	221
27001	776	776
27003	208	208
27004	191	191
27005	262	262
27008	266	266
27010	200	200
27011	335	335
27013	416	416
27014	125	125
27015	163	163
27016	135	135
27017	344	344
27019	162	162
27022	156	156
27023	261	261
27024	226	226
27025	292	292
27026	261	261
27027	418	418
27029	227	227
27030	154	154
27031	266	266
27032	313	313
27033	241	241
27034	253	253
27035	433	433
27036	310	310
27037	17	17
27039	248	248
27040	450	450
27043	221	221
27044	229	229
27045	33	33
27049	251	251
27050	316	316
28001	0	0
28002	258	258
28003	233	233
28007	270	270
28009	275	275
28013	313	313
28015	59	59
28016	174	174
28017	247	247
28020	257	257
28021	240	240
28022	253	253
28023	319	319
28024	229	229
28025	380	380
28026	270	270
28030	45	45
28032	245	245
28033	301	301
28036	163	163
28037	355	355
28038	123	123
28040	377	377
28042	100	100
28044	193	193
29006	6	6
32002	517	517
32004	469	469
32005	474	474
32006	607	607
32029	434	434
32031	513	513
32032	551	551
32033	267	267
32034	497	497
32035	514	514
32036	517	517
32037	206	206
37002	255	255
37003	231	231
37004	242	242
37007	221	221
37008	221	221
37012	178	178
37013	222	222
37014	16	16
37019	205	205
37020	2	2
37021	272	272
37022	33	33
37027	1	1
37028	261	261
37030	15	15
43005	160	160
43007	316	316
43010	579	579
43011	444	444
43023	351	351
