Precinct	total_votes	votes|Daniel William Lipinski	votes|Arthur J. Jones
11001	423	356	67
11004	364	321	43
11005	534	483	51
11008	414	367	47
11009	344	289	55
11010	389	325	64
11011	463	374	89
11012	574	454	120
11013	513	385	128
11015	167	143	24
11016	295	227	68
11017	524	446	78
11018	327	283	44
11019	536	486	50
11020	297	258	39
11021	535	463	72
11022	481	412	69
11023	266	226	40
11024	491	436	55
11025	550	466	84
11026	496	418	78
11027	140	124	16
11028	196	156	40
11029	479	409	70
11031	425	333	92
11032	213	172	41
11037	0	0	0
12001	354	325	29
12003	365	326	39
12004	399	357	42
12005	118	101	17
12008	12	12	0
12009	319	278	41
12019	351	318	33
12023	376	329	47
13001	298	247	51
13002	301	257	44
13003	279	260	19
13004	365	270	95
13005	391	357	34
13006	344	268	76
13007	262	245	17
13008	275	234	41
13009	358	328	30
13010	328	258	70
13011	380	315	65
13012	302	266	36
13013	353	326	27
13014	351	312	39
13015	463	425	38
13016	225	211	14
13017	285	243	42
13018	270	225	45
13020	207	173	34
13021	404	312	92
13022	391	322	69
13023	249	229	20
13024	354	310	44
13025	345	314	31
13026	319	263	56
13027	313	265	48
13028	260	232	28
13029	264	240	24
13030	268	257	11
13031	380	309	71
13032	293	235	58
13033	346	279	67
13034	403	384	19
13035	312	287	25
13036	209	196	13
13037	379	345	34
13038	330	255	75
13039	335	313	22
13040	350	315	35
13041	298	277	21
13042	340	270	70
13043	351	304	47
13044	350	334	16
13045	393	330	63
13046	395	364	31
13047	365	344	21
13048	318	271	47
14001	431	332	99
14004	387	313	74
14005	35	33	2
14007	408	372	36
14008	390	354	36
14009	447	370	77
14012	386	342	44
14018	157	128	29
14021	333	301	32
14022	476	404	72
14023	303	261	42
14024	452	353	99
14025	4	4	0
14026	267	246	21
14029	279	258	21
15001	239	217	22
15005	67	61	6
15008	11	8	3
15013	257	240	17
15014	276	255	21
15015	162	143	19
15016	340	318	22
15019	286	259	27
16001	263	239	24
16007	8	8	0
16023	283	263	20
16032	296	278	18
16035	103	96	7
18015	384	352	32
18024	369	335	34
18025	365	324	41
18030	434	375	59
18040	401	363	38
18043	277	233	44
18046	405	361	44
19001	393	305	88
19002	74	68	6
19003	332	223	109
19004	476	357	119
19005	158	142	16
19006	451	304	147
19007	385	329	56
19008	471	301	170
19009	319	233	86
19010	458	394	64
19011	378	261	117
19012	353	237	116
19015	537	353	184
19016	449	315	134
19017	383	301	82
19018	391	341	50
19019	556	498	58
19021	398	247	151
19022	473	418	55
19023	443	336	107
19024	315	214	101
19025	353	286	67
19026	435	364	71
19029	438	284	154
19030	398	265	133
19032	397	313	84
19033	454	311	143
19034	400	336	64
19035	392	337	55
19041	393	265	128
19044	469	319	150
19045	425	327	98
19046	449	359	90
19050	361	285	76
19051	482	389	93
19052	453	297	156
19053	404	339	65
19054	357	241	116
