Precinct	total_votes	votes|Larry Rogers, Jr.
02010	225	225
03001	589	589
03002	554	554
03003	381	381
03004	498	498
03005	282	282
03006	577	577
03007	290	290
03008	357	357
03009	459	459
03010	205	205
03011	469	469
03012	468	468
03013	502	502
03014	508	508
03015	414	414
03016	403	403
03017	629	629
03018	665	665
03019	497	497
03020	483	483
03021	494	494
03022	603	603
03023	386	386
03024	381	381
03025	728	728
03026	485	485
03027	571	571
03028	287	287
03029	427	427
03030	394	394
03031	501	501
03032	540	540
03033	546	546
03034	565	565
03035	224	224
03036	241	241
03037	413	413
03038	372	372
03039	727	727
03040	475	475
03041	305	305
04001	705	705
04002	605	605
04003	377	377
04004	635	635
04005	474	474
04006	559	559
04007	576	576
04008	520	520
04009	552	552
04010	609	609
04011	491	491
04012	560	560
04013	582	582
04014	501	501
04015	599	599
04016	796	796
04017	603	603
04018	459	459
04019	351	351
04020	409	409
04021	667	667
04022	480	480
04023	649	649
04024	438	438
04025	521	521
04026	469	469
04027	637	637
04028	406	406
04029	408	408
04030	649	649
04031	508	508
04032	537	537
04033	481	481
04034	413	413
04035	581	581
04036	551	551
04037	861	861
04038	527	527
05001	369	369
05002	308	308
05003	481	481
05004	627	627
05005	403	403
05006	357	357
05007	487	487
05008	457	457
05009	565	565
05010	340	340
05011	476	476
05012	286	286
05013	383	383
05014	355	355
05015	422	422
05016	399	399
05017	369	369
05018	436	436
05019	434	434
05020	539	539
05021	499	499
05022	507	507
05023	771	771
05024	498	498
05025	415	415
05026	442	442
05027	502	502
05028	480	480
05029	461	461
05030	294	294
05031	347	347
05032	565	565
05033	486	486
05034	512	512
05035	536	536
05036	252	252
05037	492	492
05038	390	390
05039	351	351
05040	318	318
05041	259	259
06001	407	407
06002	389	389
06003	395	395
06004	286	286
06005	246	246
06006	393	393
06007	332	332
06008	363	363
06009	306	306
06010	218	218
06011	316	316
06012	265	265
06013	279	279
06014	332	332
06015	286	286
06016	366	366
06017	244	244
06018	257	257
06019	329	329
06020	209	209
06021	194	194
06022	215	215
06023	184	184
06024	185	185
06025	188	188
06026	273	273
06027	192	192
06028	170	170
06029	391	391
06030	298	298
06031	380	380
06032	339	339
06033	360	360
06034	374	374
06035	339	339
06036	426	426
06037	370	370
06038	381	381
06039	291	291
06040	333	333
06041	356	356
06042	354	354
06043	322	322
06044	342	342
06045	385	385
06046	245	245
06047	261	261
06048	377	377
07001	309	309
07002	330	330
07003	367	367
07004	359	359
07005	290	290
07006	438	438
07007	323	323
07008	292	292
07009	607	607
07010	392	392
07011	369	369
07012	313	313
07013	212	212
07014	360	360
07015	335	335
07016	263	263
07017	292	292
07018	300	300
07019	323	323
07020	253	253
07021	253	253
07022	287	287
07023	344	344
07024	275	275
07025	266	266
07026	284	284
07027	278	278
07028	246	246
07029	288	288
07030	239	239
07031	223	223
07032	462	462
07033	462	462
07034	423	423
07035	367	367
07036	412	412
07037	359	359
07038	301	301
07039	309	309
07040	293	293
07041	343	343
07042	295	295
07043	347	347
07044	294	294
07045	309	309
07046	137	137
08001	302	302
08002	334	334
08003	417	417
08004	420	420
08005	405	405
08006	373	373
08007	422	422
08008	366	366
08009	250	250
08010	462	462
08011	298	298
08012	308	308
08013	407	407
08014	259	259
08015	321	321
08016	106	106
08017	326	326
08018	325	325
08019	387	387
08020	416	416
08021	453	453
08022	339	339
08023	302	302
08024	221	221
08025	352	352
08026	326	326
08027	405	405
08028	379	379
08029	406	406
08030	365	365
08031	263	263
08032	296	296
08033	342	342
08034	343	343
08035	404	404
08036	383	383
08037	308	308
08038	229	229
08039	363	363
08040	271	271
08041	413	413
08042	448	448
08043	194	194
08044	247	247
08045	337	337
08046	291	291
08047	286	286
08048	328	328
08049	337	337
08050	364	364
08051	401	401
08052	453	453
08053	203	203
08054	283	283
08055	289	289
08056	360	360
09001	327	327
09002	316	316
09003	234	234
09004	251	251
09005	333	333
09006	318	318
09007	282	282
09008	333	333
09009	354	354
09010	273	273
09011	215	215
09012	381	381
09013	387	387
09014	406	406
09015	358	358
09016	304	304
09017	224	224
09018	249	249
09019	314	314
09020	326	326
09021	294	294
09022	340	340
09023	393	393
09024	346	346
09025	350	350
09026	356	356
09027	291	291
09028	204	204
09029	290	290
09030	267	267
09031	254	254
09032	334	334
09033	258	258
09034	240	240
09035	335	335
09036	271	271
09037	446	446
09038	352	352
09039	378	378
09040	373	373
09041	275	275
09042	340	340
09043	287	287
09044	308	308
09045	263	263
09046	336	336
09047	349	349
09048	392	392
09049	366	366
09050	439	439
09051	347	347
10001	298	298
10002	269	269
10003	277	277
10004	241	241
10005	222	222
10006	230	230
10007	224	224
10008	201	201
10009	233	233
10010	275	275
10011	353	353
10012	188	188
10013	280	280
10014	363	363
10015	632	632
10016	219	219
10017	366	366
10018	204	204
10019	288	288
10020	305	305
10021	294	294
10022	178	178
10023	267	267
10024	262	262
10025	92	92
10026	229	229
10027	316	316
10028	323	323
10029	274	274
10030	256	256
10031	234	234
10032	293	293
10033	214	214
10034	211	211
10035	311	311
10036	74	74
11007	289	289
11028	148	148
11032	0	0
13002	226	226
13004	259	259
13005	336	336
13006	253	253
13009	288	288
13010	232	232
13011	291	291
13013	276	276
13018	193	193
13019	314	314
13020	147	147
13021	271	271
13022	271	271
13026	143	143
13027	260	260
13028	219	219
13029	213	213
13030	235	235
13031	277	277
13032	198	198
13033	255	255
13034	331	331
13035	260	260
13036	185	185
13037	326	326
13038	212	212
13039	292	292
13041	320	320
13042	227	227
13043	280	280
13044	270	270
13045	293	293
13046	343	343
13047	314	314
13048	234	234
14001	275	275
14002	387	387
14004	268	268
14024	155	155
15002	197	197
15003	213	213
15007	201	201
15013	127	127
15014	248	248
15015	222	222
15016	310	310
15017	235	235
15018	187	187
15019	246	246
15020	222	222
15021	195	195
15022	229	229
15023	239	239
15024	183	183
16002	257	257
16003	212	212
16004	255	255
16005	180	180
16006	256	256
16007	232	232
16008	170	170
16009	260	260
16010	219	219
16011	247	247
16012	212	212
16014	188	188
16015	263	263
16016	235	235
16017	79	79
16019	64	64
16020	200	200
16021	221	221
16022	91	91
16023	254	254
16024	138	138
16025	286	286
16026	194	194
16027	220	220
16028	219	219
16029	239	239
16030	200	200
16031	259	259
16033	233	233
16034	238	238
16036	197	197
17001	318	318
17002	314	314
17003	315	315
17004	391	391
17005	220	220
17006	112	112
17008	244	244
17009	239	239
17010	415	415
17011	242	242
17012	246	246
17013	273	273
17015	336	336
17016	264	264
17017	283	283
17018	356	356
17019	179	179
