Precinct	total_votes	votes|Michelle A. Harris
03002	27	27
03004	133	133
03007	176	176
03012	21	21
03018	117	117
03023	27	27
03029	0	0
03030	96	96
03031	15	15
03035	71	71
03038	236	236
03041	203	203
04001	312	312
04003	181	181
04004	33	33
04008	261	261
04009	320	320
04011	89	89
04012	260	260
04014	219	219
04015	207	207
04018	236	236
04019	142	142
04022	228	228
04023	347	347
04024	212	212
04026	200	200
04027	291	291
04028	63	63
04029	141	141
04030	219	219
04031	309	309
04032	250	250
04033	239	239
04036	144	144
04038	286	286
05002	134	134
05003	206	206
05004	267	267
05005	185	185
05007	236	236
05008	239	239
05009	287	287
05010	127	127
05011	101	101
05012	144	144
05013	161	161
05015	191	191
05016	176	176
05017	165	165
05018	136	136
05019	247	247
05020	276	276
05021	227	227
05022	298	298
05024	247	247
05025	52	52
05027	186	186
05030	148	148
05033	225	225
05034	228	228
05035	224	224
05039	198	198
06001	231	231
06002	201	201
06003	215	215
06004	112	112
06005	87	87
06006	206	206
06007	184	184
06008	190	190
06009	129	129
06010	96	96
06011	131	131
06012	105	105
06013	138	138
06014	177	177
06015	106	106
06016	204	204
06017	99	99
06018	90	90
06019	151	151
06020	90	90
06021	3	3
06022	94	94
06023	61	61
06024	90	90
06025	78	78
06026	99	99
06027	86	86
06028	73	73
06029	244	244
06030	120	120
06031	242	242
06032	184	184
06033	177	177
06034	201	201
06035	182	182
06036	243	243
06037	238	238
06038	220	220
06039	132	132
06040	149	149
06041	194	194
06042	162	162
06043	150	150
06044	152	152
06045	187	187
06046	113	113
06047	130	130
06048	180	180
07001	135	135
08001	155	155
08002	166	166
08003	267	267
08004	94	94
08005	248	248
08006	217	217
08008	240	240
08010	311	311
08011	186	186
08012	156	156
08013	203	203
08014	92	92
08015	175	175
08016	52	52
08018	131	131
08019	258	258
08020	249	249
08021	235	235
08022	187	187
08023	169	169
08024	146	146
08025	164	164
08026	180	180
08027	56	56
08029	250	250
08030	208	208
08031	156	156
08033	192	192
08034	200	200
08035	226	226
08037	187	187
08038	108	108
08040	150	150
08041	197	197
08043	87	87
08044	128	128
08045	145	145
08047	171	171
08048	164	164
08049	185	185
08050	136	136
08051	224	224
08052	289	289
08054	120	120
08055	193	193
08056	237	237
09012	218	218
09023	224	224
09024	184	184
09025	181	181
09036	141	141
09042	204	204
09047	230	230
09048	192	192
09049	175	175
09050	294	294
09051	207	207
13019	127	127
13041	32	32
