Precinct	total_votes	votes|Dennis Deer
01003	560	560
01004	536	536
01005	107	107
01006	453	453
01010	608	608
01012	391	391
01014	115	115
01015	68	68
01033	517	517
01035	559	559
01036	480	480
01037	463	463
01039	420	420
01040	444	444
02001	203	203
02003	540	540
02004	426	426
02005	568	568
02014	499	499
02016	27	27
02017	576	576
02021	508	508
03001	112	112
03003	368	368
03005	267	267
03006	574	574
03008	351	351
03010	191	191
03013	498	498
03014	508	508
03016	381	381
03017	633	633
03018	439	439
03021	338	338
03022	613	613
03024	35	35
03025	713	713
03026	493	493
03027	214	214
03028	288	288
03029	152	152
03032	529	529
03033	546	546
03034	564	564
03036	237	237
03037	138	138
03039	728	728
03040	470	470
04013	221	221
06004	281	281
06005	248	248
06007	31	31
06009	312	312
06010	45	45
06011	306	306
06012	174	174
06015	280	280
06018	247	247
06021	193	193
06022	208	208
06023	181	181
06024	179	179
06025	177	177
06026	264	264
06027	200	200
06028	162	162
06048	72	72
11002	28	28
11006	577	577
11007	293	293
15002	194	194
15003	176	176
15007	213	213
15017	220	220
15018	183	183
15020	229	229
15021	195	195
15022	238	238
15023	229	229
15024	185	185
16003	212	212
16004	244	244
16005	177	177
16006	245	245
16009	259	259
16010	199	199
16014	184	184
16015	262	262
16016	231	231
16020	192	192
16021	190	190
16022	194	194
16024	139	139
16025	286	286
16026	192	192
16027	210	210
16028	206	206
16029	241	241
16030	202	202
16031	261	261
16033	235	235
16034	229	229
16036	190	190
17003	306	306
17005	216	216
17006	253	253
17008	239	239
17011	230	230
17013	261	261
17016	35	35
17017	274	274
17019	173	173
17023	201	201
17025	230	230
17028	242	242
17031	187	187
17032	242	242
17033	207	207
17034	225	225
17035	207	207
17036	284	284
17037	263	263
17040	0	0
18005	211	211
18027	268	268
18033	211	211
18039	260	260
18047	256	256
18048	280	280
18049	202	202
18050	251	251
20002	127	127
20004	16	16
20006	144	144
20007	353	353
20011	445	445
20012	262	262
20013	358	358
20021	52	52
20023	341	341
20025	195	195
20027	166	166
20028	198	198
20029	357	357
20030	148	148
20031	389	389
20032	321	321
20035	214	214
20036	109	109
20037	95	95
20038	111	111
20039	21	21
22019	163	163
22021	329	329
24001	255	255
24002	265	265
24003	288	288
24004	225	225
24005	153	153
24006	289	289
24008	135	135
24009	262	262
24010	129	129
24011	319	319
24012	168	168
24013	152	152
24014	256	256
24015	143	143
24017	223	223
24018	314	314
24019	340	340
24020	241	241
24021	141	141
24022	341	341
24023	218	218
24024	294	294
24025	243	243
24026	397	397
24027	298	298
24028	195	195
24029	222	222
24030	161	161
24031	311	311
24032	137	137
24033	169	169
24034	257	257
24035	269	269
24036	333	333
24037	169	169
24038	232	232
24039	288	288
24040	317	317
24041	190	190
25003	637	637
25004	325	325
25006	112	112
25010	594	594
25014	193	193
25016	580	580
25018	188	188
25020	252	252
25021	408	408
25025	373	373
25027	472	472
25029	316	316
25031	730	730
27001	125	125
27002	355	355
27007	533	533
27010	382	382
27011	171	171
27013	500	500
27014	175	175
27016	415	415
27017	353	353
27018	251	251
27025	323	323
27027	448	448
27030	169	169
27032	321	321
27033	384	384
27039	251	251
27040	483	483
27041	285	285
27043	199	199
27045	801	801
27049	261	261
27050	323	323
28001	0	0
28003	10	10
28004	266	266
28005	192	192
28006	165	165
28008	364	364
28009	108	108
28010	380	380
28011	588	588
28016	183	183
28017	68	68
28018	255	255
28019	249	249
28027	287	287
28028	358	358
28029	152	152
28030	44	44
28032	265	265
28034	471	471
28035	339	339
28036	163	163
28040	108	108
28045	379	379
28046	553	553
29002	180	180
29006	255	255
42003	511	511
42009	573	573
42010	643	643
42012	389	389
42014	308	308
42016	491	491
42017	603	603
42018	539	539
42021	534	534
42025	441	441
42033	372	372
42036	821	821
42040	137	137
42041	497	497
42042	815	815
