Precinct	total_votes	votes|Kelly M. Cassidy
40028	508	508
40037	8	8
48001	491	491
48002	238	238
48003	564	564
48005	295	295
48006	610	610
48007	520	520
48008	262	262
48009	300	300
48010	765	765
48011	469	469
48012	629	629
48013	631	631
48014	216	216
48015	349	349
48016	525	525
48018	348	348
48019	352	352
48020	216	216
48021	15	15
48022	426	426
48025	472	472
48026	240	240
48027	756	756
48028	506	506
48029	249	249
48030	459	459
48031	633	633
48032	533	533
48033	271	271
48034	449	449
48036	287	287
48037	535	535
48038	457	457
48039	391	391
48040	465	465
48041	654	654
48042	620	620
48043	552	552
48044	668	668
48045	397	397
48046	340	340
49001	314	314
49002	357	357
49003	560	560
49004	629	629
49005	522	522
49006	488	488
49007	547	547
49008	399	399
49009	561	561
49010	495	495
49011	591	591
49012	705	705
49013	579	579
49014	432	432
49015	367	367
49016	494	494
49017	351	351
49018	698	698
49019	467	467
49020	761	761
49021	283	283
49022	477	477
49023	696	696
49024	418	418
49025	684	684
49026	571	571
49027	584	584
49028	702	702
49029	636	636
49030	596	596
49031	395	395
49032	503	503
49033	422	422
50008	302	302
50028	1	1
Evanston Ward 8 Precinct 3	463	463
Evanston Ward 8 Precinct 5	725	725
