Precinct	total_votes	votes|Napoleon B. Harris, III
09003	98	98
09004	107	107
09007	125	125
09011	118	118
09015	101	101
09016	163	163
09018	122	122
09026	126	126
09028	84	84
09031	4	4
09033	123	123
09041	139	139
09044	146	146
09045	126	126
Bloom 1	120	120
Bloom 2	229	229
Bloom 6	2	2
Bloom 7	190	190
Bloom 8	128	128
Bloom 9	104	104
Bloom 10	77	77
Bloom 11	86	86
Bloom 20	216	216
Bloom 21	37	37
Bloom 24	251	251
Bloom 26	0	0
Bloom 29	94	94
Bloom 30	312	312
Bloom 33	217	217
Bloom 34	166	166
Bloom 37	151	151
Bloom 40	175	175
Bloom 45	305	305
Bloom 47	296	296
Bloom 48	219	219
Bloom 49	270	270
Bloom 60	213	213
Bremen 1	197	197
Bremen 2	117	117
Bremen 4	118	118
Bremen 5	97	97
Bremen 6	85	85
Bremen 7	116	116
Bremen 10	76	76
Bremen 12	139	139
Bremen 14	100	100
Bremen 15	94	94
Bremen 18	124	124
Bremen 21	155	155
Bremen 25	116	116
Bremen 26	215	215
Bremen 28	93	93
Bremen 37	117	117
Bremen 41	67	67
Bremen 42	140	140
Bremen 43	106	106
Bremen 44	176	176
Bremen 45	78	78
Bremen 52	110	110
Bremen 55	97	97
Bremen 61	118	118
Bremen 62	125	125
Bremen 74	132	132
Bremen 75	273	273
Rich 11	270	270
Rich 34	282	282
Thornton 4	257	257
Thornton 6	303	303
Thornton 7	246	246
Thornton 8	187	187
Thornton 15	158	158
Thornton 20	88	88
Thornton 21	320	320
Thornton 22	192	192
Thornton 23	219	219
Thornton 24	249	249
Thornton 25	221	221
Thornton 26	145	145
Thornton 27	340	340
Thornton 28	150	150
Thornton 29	115	115
Thornton 30	127	127
Thornton 31	19	19
Thornton 32	123	123
Thornton 33	206	206
Thornton 34	305	305
Thornton 36	87	87
Thornton 37	173	173
Thornton 39	171	171
Thornton 40	147	147
Thornton 41	132	132
Thornton 42	148	148
Thornton 44	118	118
Thornton 45	209	209
Thornton 46	233	233
Thornton 48	188	188
Thornton 49	105	105
Thornton 52	234	234
Thornton 53	122	122
Thornton 54	361	361
Thornton 55	146	146
Thornton 59	133	133
Thornton 60	130	130
Thornton 64	250	250
Thornton 66	371	371
Thornton 67	273	273
Thornton 69	138	138
Thornton 70	134	134
Thornton 71	126	126
Thornton 72	199	199
Thornton 73	313	313
Thornton 74	184	184
Thornton 75	203	203
Thornton 76	257	257
Thornton 77	302	302
Thornton 80	227	227
Thornton 81	212	212
Thornton 82	113	113
Thornton 83	259	259
Thornton 84	305	305
Thornton 86	191	191
Thornton 87	311	311
Thornton 88	221	221
Thornton 89	280	280
Thornton 90	251	251
Thornton 91	234	234
Thornton 92	237	237
Thornton 93	147	147
Thornton 95	142	142
Thornton 96	159	159
Thornton 97	50	50
Thornton 98	51	51
Thornton 100	107	107
Thornton 101	162	162
Thornton 102	117	117
Thornton 103	129	129
Thornton 104	71	71
Thornton 105	188	188
Thornton 106	158	158
Thornton 108	117	117
Thornton 109	144	144
Thornton 110	137	137
Thornton 111	146	146
Thornton 112	78	78
Thornton 113	100	100
Thornton 115	191	191
Thornton 116	193	193
Thornton 118	282	282
Thornton 119	179	179
Thornton 121	177	177
Thornton 122	282	282
Thornton 123	163	163
