Precinct	total_votes	votes|Martin J. Moylan
41028	113	113
41029	78	78
41042	2	2
Elk Grove 3	173	173
Elk Grove 4	128	128
Elk Grove 9	133	133
Elk Grove 12	83	83
Elk Grove 13	115	115
Elk Grove 15	90	90
Elk Grove 17	123	123
Elk Grove 18	179	179
Elk Grove 20	139	139
Elk Grove 24	110	110
Elk Grove 29	123	123
Elk Grove 31	72	72
Elk Grove 32	68	68
Elk Grove 33	64	64
Elk Grove 36	77	77
Elk Grove 37	52	52
Elk Grove 38	83	83
Elk Grove 40	103	103
Elk Grove 42	98	98
Elk Grove 43	131	131
Elk Grove 45	117	117
Elk Grove 47	172	172
Elk Grove 49	125	125
Elk Grove 51	165	165
Leyden 23	213	213
Maine 3	52	52
Maine 6	238	238
Maine 7	105	105
Maine 8	142	142
Maine 9	246	246
Maine 10	130	130
Maine 11	96	96
Maine 12	133	133
Maine 13	155	155
Maine 14	224	224
Maine 16	138	138
Maine 17	146	146
Maine 18	131	131
Maine 20	102	102
Maine 21	185	185
Maine 22	201	201
Maine 24	238	238
Maine 25	187	187
Maine 26	154	154
Maine 34	166	166
Maine 35	166	166
Maine 36	137	137
Maine 37	144	144
Maine 38	90	90
Maine 42	227	227
Maine 47	162	162
Maine 48	216	216
Maine 50	121	121
Maine 53	102	102
Maine 54	175	175
Maine 56	140	140
Maine 61	72	72
Maine 65	79	79
Maine 67	182	182
Maine 68	110	110
Maine 79	131	131
Maine 80	148	148
Maine 86	111	111
Maine 87	90	90
Norwood Park 3	169	169
Norwood Park 11	238	238
Norwood Park 14	125	125
