Precinct	total_votes	votes|Bridget Gainer
39001	353	353
39002	281	281
39004	304	304
39013	282	282
39015	361	361
39016	277	277
39018	354	354
39020	394	394
39021	312	312
39022	88	88
39023	344	344
39024	391	391
39026	305	305
39027	62	62
39032	264	264
39036	104	104
39037	350	350
39039	139	139
39040	301	301
39041	358	358
39042	346	346
39043	350	350
39044	264	264
39045	311	311
40002	365	365
40004	235	235
40009	334	334
40010	387	387
40013	753	753
40015	372	372
40016	358	358
40018	328	328
40019	271	271
40021	413	413
40022	516	516
40023	561	561
40024	132	132
40025	566	566
40026	511	511
40027	604	604
40028	494	494
40029	393	393
40030	118	118
40031	538	538
40032	527	527
40033	471	471
40035	282	282
40036	417	417
40037	407	407
40039	164	164
41019	160	160
43001	263	263
43003	455	455
43004	547	547
43007	174	174
43008	343	343
43009	476	476
43012	344	344
43013	475	475
43014	457	457
43015	465	465
43017	358	358
43019	538	538
43020	534	534
43021	528	528
43022	340	340
43024	359	359
43025	384	384
43026	318	318
43027	455	455
43029	463	463
43032	487	487
43034	352	352
43036	284	284
43037	550	550
43040	358	358
43042	469	469
43044	453	453
43045	285	285
44001	825	825
44002	506	506
44003	316	316
44004	440	440
44005	633	633
44006	682	682
44007	349	349
44008	740	740
44009	518	518
44010	542	542
44011	573	573
44012	564	564
44013	424	424
44014	497	497
44015	480	480
44016	589	589
44017	718	718
44018	592	592
44019	648	648
44020	598	598
44021	689	689
44022	556	556
44023	543	543
44024	386	386
44025	526	526
44026	667	667
44027	625	625
44028	522	522
44029	545	545
44030	645	645
44031	454	454
44032	577	577
44033	609	609
44034	583	583
44035	611	611
44036	569	569
44037	599	599
44038	525	525
44039	553	553
44040	479	479
44041	683	683
45026	80	80
45027	105	105
45035	356	356
45036	369	369
45037	335	335
45038	313	313
45039	337	337
45040	320	320
45041	286	286
45042	307	307
45043	308	308
45044	321	321
45045	204	204
45046	231	231
45047	220	220
45048	261	261
46001	362	362
46002	469	469
46003	584	584
46004	474	474
46005	665	665
46006	426	426
46007	500	500
46008	328	328
46009	557	557
46010	808	808
46011	462	462
46012	558	558
46013	506	506
46014	442	442
46015	492	492
46016	607	607
46017	565	565
46018	563	563
46019	351	351
46020	397	397
46021	328	328
46022	370	370
46023	422	422
46024	603	603
46025	493	493
46026	577	577
46027	644	644
46028	476	476
46029	423	423
46030	534	534
46031	523	523
46032	504	504
46033	603	603
46034	599	599
46035	566	566
46036	491	491
46037	431	431
46038	541	541
46039	489	489
46040	424	424
47005	458	458
47010	555	555
47015	646	646
47018	497	497
47019	681	681
47020	496	496
47022	524	524
47023	594	594
47024	538	538
47026	706	706
47028	144	144
47030	661	661
47031	523	523
47032	657	657
47033	163	163
47034	538	538
47036	611	611
47038	500	500
47041	585	585
47042	273	273
47044	484	484
47045	510	510
48001	481	481
48002	234	234
48003	550	550
48004	485	485
48005	288	288
48006	608	608
48007	517	517
48008	253	253
48009	292	292
48010	729	729
48011	446	446
48012	615	615
48013	606	606
48014	239	239
48015	340	340
48016	509	509
48017	450	450
48018	334	334
48019	345	345
48020	593	593
48021	615	615
48022	425	425
48023	505	505
48024	517	517
48025	458	458
48026	236	236
48027	731	731
48028	484	484
48029	244	244
48030	450	450
48031	629	629
48032	527	527
48033	262	262
48034	438	438
48035	312	312
48036	282	282
48037	520	520
48038	506	506
48039	383	383
48040	446	446
48041	640	640
48042	598	598
48043	542	542
48044	646	646
48045	387	387
48046	322	322
49002	347	347
49004	603	603
49018	669	669
49028	673	673
50017	301	301
50023	196	196
50024	186	186
50025	240	240
50026	290	290
50029	302	302
50030	232	232
50031	173	173
50032	275	275
50039	177	177
