Precinct	total_votes	votes|Luis Arroyo
01002	98	98
01017	4	4
01026	17	17
26024	1	1
26037	143	143
29015	2	2
29023	22	22
29024	36	36
29029	31	31
29030	121	121
29031	77	77
29036	124	124
29038	126	126
29039	151	151
30002	122	122
30005	84	84
30006	117	117
30009	22	22
30010	123	123
30011	113	113
30012	86	86
30013	118	118
30014	73	73
30016	46	46
30019	92	92
30021	117	117
30029	74	74
30030	44	44
31003	72	72
31004	127	127
31014	38	38
31015	96	96
31016	90	90
31019	73	73
31021	15	15
31022	79	79
31025	80	80
31031	82	82
31039	106	106
35002	220	220
35003	43	43
35007	184	184
35008	201	201
35014	125	125
35018	135	135
35019	66	66
35021	21	21
36001	133	133
36002	112	112
36003	133	133
36004	99	99
36005	127	127
36006	104	104
36007	187	187
36008	95	95
36009	114	114
36010	151	151
36011	83	83
36012	33	33
36013	71	71
36015	175	175
36018	41	41
36019	145	145
36021	102	102
36022	98	98
36023	85	85
36024	122	122
36025	108	108
36026	108	108
36027	122	122
36028	101	101
36029	127	127
36030	130	130
37022	30	30
37026	8	8
38004	143	143
38008	122	122
38010	122	122
38016	136	136
38021	10	10
38037	153	153
38039	125	125
Leyden 28	69	69
Leyden 34	32	32
