Precinct	total_votes	votes|Michael J. Zalewski
13026	0	0
13045	1	1
Berwyn Ward 3 Precinct 1	89	89
Berwyn Ward 3 Precinct 3	295	295
Berwyn Ward 5 Precinct 2	367	367
Berwyn Ward 6 Precinct 3	383	383
Berwyn Ward 7 Precinct 3	425	425
Berwyn Ward 8 Precinct 2	359	359
Cicero 1	426	426
Cicero 2	222	222
Cicero 3	289	289
Cicero 4	315	315
Cicero 8	210	210
Cicero 9	368	368
Cicero 15	400	400
Cicero 16	276	276
Cicero 17	413	413
Cicero 18	241	241
Cicero 23	470	470
Cicero 24	428	428
Cicero 27	227	227
Cicero 28	360	360
Cicero 30	339	339
Cicero 31	269	269
Lyons 4	656	656
Lyons 6	284	284
Lyons 7	432	432
Lyons 8	239	239
Lyons 10	382	382
Lyons 25	148	148
Lyons 29	298	298
Lyons 33	148	148
Lyons 34	186	186
Lyons 35	301	301
Lyons 48	366	366
Lyons 51	281	281
Lyons 58	266	266
Lyons 65	502	502
Lyons 67	412	412
Lyons 68	289	289
Lyons 71	159	159
Lyons 75	264	264
Lyons 76	30	30
Proviso 29	599	599
Proviso 75	366	366
Proviso 89	355	355
Proviso 90	746	746
Riverside 1	279	279
Riverside 8	559	559
Riverside 9	379	379
Riverside 10	532	532
Riverside 11	159	159
Stickney 4	408	408
Stickney 6	513	513
Stickney 7	229	229
Stickney 8	364	364
Stickney 9	171	171
Stickney 12	170	170
Stickney 13	322	322
Stickney 18	195	195
