Precinct	total_votes	votes|Christian L. Mitchell
02002	342	342
02010	337	337
02011	483	483
02013	395	395
02018	453	453
02019	311	311
02023	286	286
02027	295	295
02029	343	343
02034	347	347
02042	248	248
03002	17	17
03004	508	508
03011	215	215
03012	180	180
03019	514	514
03021	154	154
03027	366	366
03030	391	391
03031	276	276
04003	382	382
04004	634	634
04006	145	145
04007	560	560
04008	494	494
04011	370	370
04012	548	548
04015	112	112
04018	454	454
04019	366	366
04023	68	68
04024	452	452
04026	450	450
04028	408	408
04029	415	415
04030	637	637
04032	543	543
04033	481	481
04034	93	93
04035	569	569
04036	310	310
04038	361	361
05004	633	633
05005	393	393
05006	345	345
05010	340	340
05013	362	362
05014	110	110
05015	427	427
05016	415	415
05017	208	208
05021	259	259
05028	226	226
05030	138	138
05036	245	245
07001	300	300
07002	326	326
07003	363	363
07004	351	351
07010	397	397
07011	38	38
07015	333	333
07016	6	6
07017	0	0
07019	324	324
07020	248	248
07021	25	25
07023	332	332
07024	284	284
07025	252	252
07028	10	10
07030	41	41
07031	217	217
07033	22	22
08001	28	28
08002	224	224
08021	41	41
08042	447	447
10018	204	204
10027	292	292
10034	174	174
10036	0	0
20005	390	390
20009	502	502
20016	400	400
20022	433	433
20024	136	136
42001	400	400
42002	551	551
42004	957	957
42006	439	439
42007	588	588
42008	415	415
42011	290	290
42013	386	386
42019	214	214
42024	472	472
42026	656	656
42028	522	522
42029	509	509
42030	378	378
42031	553	553
42034	386	386
42035	649	649
42040	564	564
43035	509	509
