Precinct	total_votes	votes|Bill Cunningham
17018	4	4
18009	191	191
18019	8	8
18026	105	105
18032	331	331
18034	401	401
19001	329	329
19002	551	551
19003	249	249
19004	381	381
19005	434	434
19006	335	335
19007	339	339
19008	346	346
19009	243	243
19010	468	468
19011	293	293
19012	263	263
19013	495	495
19015	414	414
19016	347	347
19017	324	324
19018	365	365
19019	513	513
19021	297	297
19022	434	434
19023	364	364
19024	242	242
19025	359	359
19026	389	389
19027	416	416
19028	468	468
19029	323	323
19030	313	313
19032	336	336
19033	343	343
19034	356	356
19035	363	363
19036	554	554
19037	391	391
19038	350	350
19039	159	159
19041	294	294
19044	358	358
19045	367	367
19046	372	372
19050	311	311
19051	412	412
19052	346	346
19053	345	345
19054	251	251
19055	271	271
19056	420	420
19057	324	324
21001	395	395
21003	383	383
21007	344	344
21008	359	359
21009	389	389
21013	299	299
21014	362	362
21015	69	69
21016	333	333
21018	385	385
21022	83	83
21026	9	9
21029	409	409
21032	312	312
21036	76	76
21042	164	164
21048	141	141
34049	51	51
Lyons 23	12	12
Lyons 46	285	285
Orland 1	566	566
Orland 2	428	428
Orland 3	227	227
Orland 4	261	261
Orland 7	215	215
Orland 8	307	307
Orland 9	434	434
Orland 10	376	376
Orland 12	169	169
Orland 16	302	302
Orland 18	467	467
Orland 20	188	188
Orland 22	347	347
Orland 25	586	586
Orland 26	318	318
Orland 28	225	225
Orland 29	492	492
Orland 31	257	257
Orland 32	229	229
Orland 33	293	293
Orland 36	474	474
Orland 37	400	400
Orland 38	210	210
Orland 40	390	390
Orland 46	235	235
Orland 48	361	361
Orland 53	304	304
Orland 54	473	473
Orland 55	273	273
Orland 56	251	251
Orland 64	443	443
Orland 69	227	227
Palos 1	72	72
Palos 2	265	265
Palos 7	425	425
Palos 8	134	134
Palos 10	365	365
Palos 11	356	356
Palos 12	341	341
Palos 13	316	316
Palos 14	240	240
Palos 16	434	434
Palos 21	243	243
Palos 22	63	63
Palos 24	175	175
Palos 26	226	226
Palos 29	346	346
Palos 30	438	438
Palos 32	186	186
Palos 34	255	255
Palos 35	444	444
Palos 36	430	430
Palos 37	375	375
Palos 39	401	401
Worth 3	423	423
Worth 4	604	604
Worth 5	423	423
Worth 6	413	413
Worth 9	472	472
Worth 10	556	556
Worth 11	431	431
Worth 13	497	497
Worth 15	578	578
Worth 16	318	318
Worth 22	315	315
Worth 25	324	324
Worth 26	63	63
Worth 27	326	326
Worth 28	286	286
Worth 29	412	412
Worth 31	564	564
Worth 32	315	315
Worth 33	322	322
Worth 35	415	415
Worth 36	473	473
Worth 37	371	371
Worth 38	525	525
Worth 39	404	404
Worth 40	399	399
Worth 41	233	233
Worth 45	366	366
Worth 46	497	497
Worth 48	310	310
Worth 49	252	252
Worth 51	275	275
Worth 52	271	271
Worth 54	472	472
Worth 56	393	393
Worth 57	479	479
Worth 58	197	197
Worth 60	245	245
Worth 61	332	332
Worth 62	226	226
Worth 63	420	420
Worth 67	226	226
Worth 69	543	543
Worth 70	484	484
Worth 71	295	295
Worth 72	479	479
Worth 73	279	279
Worth 75	489	489
Worth 77	409	409
Worth 78	503	503
Worth 80	530	530
Worth 81	267	267
Worth 83	32	32
Worth 84	413	413
Worth 85	424	424
Worth 87	351	351
Worth 90	453	453
Worth 91	230	230
Worth 92	419	419
Worth 93	228	228
Worth 96	550	550
Worth 98	455	455
Worth 100	417	417
