Precinct	total_votes	votes|Jeffrey R. Tobolski
14002	221	221
14007	161	161
14008	153	153
14012	187	187
14013	147	147
14018	76	76
14022	188	188
14027	155	155
14028	117	117
Berwyn Ward 1 Precinct 1	148	148
Berwyn Ward 1 Precinct 2	153	153
Berwyn Ward 1 Precinct 3	254	254
Berwyn Ward 1 Precinct 4	175	175
Berwyn Ward 1 Precinct 5	155	155
Berwyn Ward 2 Precinct 1	103	103
Berwyn Ward 2 Precinct 2	167	167
Berwyn Ward 2 Precinct 3	222	222
Berwyn Ward 2 Precinct 4	230	230
Berwyn Ward 3 Precinct 1	165	165
Berwyn Ward 3 Precinct 2	124	124
Berwyn Ward 3 Precinct 3	133	133
Berwyn Ward 3 Precinct 4	166	166
Berwyn Ward 3 Precinct 5	227	227
Berwyn Ward 4 Precinct 1	104	104
Berwyn Ward 4 Precinct 2	191	191
Berwyn Ward 4 Precinct 3	194	194
Berwyn Ward 4 Precinct 4	139	139
Berwyn Ward 5 Precinct 1	271	271
Berwyn Ward 5 Precinct 2	137	137
Berwyn Ward 5 Precinct 3	143	143
Berwyn Ward 6 Precinct 1	91	91
Berwyn Ward 6 Precinct 2	122	122
Berwyn Ward 6 Precinct 3	145	145
Berwyn Ward 6 Precinct 4	163	163
Berwyn Ward 7 Precinct 1	132	132
Berwyn Ward 7 Precinct 2	146	146
Berwyn Ward 7 Precinct 3	175	175
Berwyn Ward 7 Precinct 4	168	168
Berwyn Ward 8 Precinct 1	234	234
Berwyn Ward 8 Precinct 2	146	146
Berwyn Ward 8 Precinct 3	101	101
Cicero 1	144	144
Cicero 2	84	84
Cicero 3	138	138
Cicero 4	97	97
Cicero 5	251	251
Cicero 6	178	178
Cicero 7	74	74
Cicero 8	94	94
Cicero 9	140	140
Cicero 10	163	163
Cicero 11	145	145
Cicero 12	156	156
Cicero 13	148	148
Cicero 14	144	144
Cicero 15	158	158
Cicero 16	88	88
Cicero 17	128	128
Cicero 18	91	91
Cicero 19	221	221
Cicero 20	138	138
Cicero 21	147	147
Cicero 22	150	150
Cicero 23	211	211
Cicero 24	138	138
Cicero 25	172	172
Cicero 26	122	122
Cicero 27	140	140
Cicero 28	143	143
Cicero 29	135	135
Cicero 30	119	119
Cicero 31	73	73
Cicero 32	129	129
Leyden 4	87	87
Leyden 6	161	161
Leyden 7	76	76
Leyden 8	83	83
Leyden 15	134	134
Leyden 16	135	135
Leyden 21	81	81
Leyden 24	97	97
Leyden 29	66	66
Leyden 31	115	115
Leyden 33	98	98
Leyden 35	54	54
Leyden 40	106	106
Leyden 41	63	63
Leyden 43	90	90
Leyden 46	105	105
Leyden 47	77	77
Leyden 48	117	117
Lyons 1	25	25
Lyons 2	168	168
Lyons 3	139	139
Lyons 4	301	301
Lyons 6	129	129
Lyons 7	210	210
Lyons 9	258	258
Lyons 10	204	204
Lyons 11	158	158
Lyons 14	138	138
Lyons 15	133	133
Lyons 19	158	158
Lyons 22	115	115
Lyons 25	75	75
Lyons 30	55	55
Lyons 37	108	108
Lyons 43	174	174
Lyons 45	209	209
Lyons 50	210	210
Lyons 56	247	247
Lyons 57	199	199
Lyons 59	103	103
Lyons 60	254	254
Lyons 64	158	158
Lyons 66	114	114
Lyons 67	177	177
Lyons 72	237	237
Lyons 76	111	111
Proviso 1	156	156
Proviso 2	140	140
Proviso 3	112	112
Proviso 10	83	83
Proviso 11	100	100
Proviso 12	186	186
Proviso 13	117	117
Proviso 14	103	103
Proviso 15	103	103
Proviso 39	92	92
Proviso 49	120	120
Proviso 51	113	113
Proviso 57	142	142
Proviso 63	170	170
Proviso 78	42	42
Proviso 80	70	70
Proviso 81	73	73
Proviso 85	169	169
Proviso 87	196	196
Proviso 88	55	55
Proviso 91	112	112
Proviso 92	81	81
Proviso 93	15	15
Proviso 95	37	37
Proviso 98	182	182
Proviso 99	1	1
Proviso 100	192	192
Proviso 101	122	122
Proviso 102	232	232
Riverside 2	8	8
Riverside 6	131	131
Riverside 7	125	125
Riverside 11	16	16
Riverside 12	114	114
Riverside 13	166	166
Stickney 1	69	69
Stickney 2	126	126
Stickney 10	213	213
Stickney 16	173	173
Stickney 17	112	112
Stickney 19	148	148
