Precinct	total_votes	votes|Steven Landek
12016	9	9
13026	0	0
13045	1	1
22003	377	377
22004	132	132
22005	248	248
22006	256	256
22007	162	162
22009	210	210
22010	13	13
22011	216	216
22013	105	105
22015	38	38
22016	8	8
22017	230	230
22018	97	97
22020	258	258
22024	286	286
22025	285	285
Berwyn Ward 1 Precinct 1	304	304
Berwyn Ward 1 Precinct 2	325	325
Berwyn Ward 1 Precinct 3	533	533
Berwyn Ward 1 Precinct 4	314	314
Berwyn Ward 1 Precinct 5	320	320
Berwyn Ward 2 Precinct 1	245	245
Berwyn Ward 2 Precinct 2	321	321
Berwyn Ward 2 Precinct 3	445	445
Berwyn Ward 2 Precinct 4	563	563
Berwyn Ward 3 Precinct 1	375	375
Berwyn Ward 3 Precinct 2	284	284
Berwyn Ward 3 Precinct 3	301	301
Berwyn Ward 3 Precinct 4	381	381
Berwyn Ward 3 Precinct 5	523	523
Berwyn Ward 4 Precinct 1	253	253
Berwyn Ward 4 Precinct 2	389	389
Berwyn Ward 4 Precinct 3	450	450
Berwyn Ward 4 Precinct 4	253	253
Berwyn Ward 5 Precinct 1	580	580
Berwyn Ward 5 Precinct 2	382	382
Berwyn Ward 5 Precinct 3	332	332
Berwyn Ward 6 Precinct 1	210	210
Berwyn Ward 6 Precinct 2	287	287
Berwyn Ward 6 Precinct 3	387	387
Berwyn Ward 6 Precinct 4	441	441
Berwyn Ward 7 Precinct 3	425	425
Berwyn Ward 8 Precinct 2	363	363
Cicero 1	443	443
Cicero 2	226	226
Cicero 3	300	300
Cicero 4	323	323
Cicero 5	445	445
Cicero 7	253	253
Cicero 8	225	225
Cicero 9	383	383
Cicero 10	445	445
Cicero 11	394	394
Cicero 12	325	325
Cicero 13	107	107
Cicero 14	335	335
Cicero 15	405	405
Cicero 16	286	286
Cicero 17	433	433
Cicero 18	250	250
Cicero 19	497	497
Cicero 21	361	361
Cicero 22	307	307
Cicero 23	482	482
Cicero 24	431	431
Cicero 25	336	336
Cicero 26	254	254
Cicero 27	391	391
Cicero 28	379	379
Cicero 29	329	329
Cicero 30	350	350
Cicero 31	279	279
Cicero 32	323	323
Lyons 2	365	365
Lyons 4	656	656
Lyons 6	288	288
Lyons 7	444	444
Lyons 8	263	263
Lyons 10	384	384
Lyons 25	153	153
Lyons 29	302	302
Lyons 33	146	146
Lyons 34	191	191
Lyons 35	313	313
Lyons 45	607	607
Lyons 48	416	416
Lyons 51	297	297
Lyons 58	267	267
Lyons 65	564	564
Lyons 67	418	418
Lyons 68	300	300
Lyons 71	171	171
Lyons 75	271	271
Lyons 76	29	29
Proviso 27	493	493
Proviso 29	598	598
Proviso 75	371	371
Proviso 89	357	357
Proviso 90	743	743
Riverside 1	517	517
Riverside 5	337	337
Riverside 8	539	539
Riverside 9	376	376
Riverside 10	516	516
Riverside 11	568	568
Stickney 4	419	419
Stickney 6	518	518
Stickney 7	230	230
Stickney 8	367	367
Stickney 9	178	178
Stickney 12	176	176
Stickney 13	325	325
Stickney 17	171	171
Stickney 18	203	203
