Precinct	total_votes	votes|Thaddeus Jones
09003	242	242
09004	70	70
09007	273	273
09011	220	220
09015	368	368
09016	304	304
09018	237	237
09026	370	370
09028	112	112
09031	17	17
09033	250	250
09041	270	270
09044	245	245
09045	257	257
Bloom 6	6	6
Bloom 7	415	415
Bloom 8	363	363
Bloom 9	231	231
Bloom 10	180	180
Bloom 11	231	231
Bloom 21	110	110
Bloom 24	581	581
Bloom 26	4	4
Bloom 29	156	156
Bloom 33	399	399
Bloom 34	277	277
Bloom 37	290	290
Bloom 45	663	663
Bloom 48	361	361
Bloom 49	506	506
Bloom 60	392	392
Thornton 6	565	565
Thornton 7	424	424
Thornton 8	426	426
Thornton 20	253	253
Thornton 21	607	607
Thornton 22	400	400
Thornton 23	392	392
Thornton 27	567	567
Thornton 34	644	644
Thornton 37	463	463
Thornton 40	323	323
Thornton 41	295	295
Thornton 45	384	384
Thornton 48	402	402
Thornton 53	284	284
Thornton 54	676	676
Thornton 55	310	310
Thornton 64	404	404
Thornton 66	685	685
Thornton 72	440	440
Thornton 73	616	616
Thornton 74	466	466
Thornton 75	420	420
Thornton 76	468	468
Thornton 80	404	404
Thornton 81	408	408
Thornton 82	299	299
Thornton 83	574	574
Thornton 84	577	577
Thornton 86	389	389
Thornton 87	612	612
Thornton 88	418	418
Thornton 89	613	613
Thornton 90	464	464
Thornton 91	438	438
Thornton 92	489	489
Thornton 100	262	262
Thornton 105	391	391
Thornton 112	6	6
Thornton 115	435	435
Thornton 121	341	341
Thornton 122	574	574
Thornton 123	302	302
