Precinct	total_votes	votes|Marcus Lewis	votes|Robin Kelly
05001	201	55	146
05006	218	30	188
05010	29	6	23
05011	211	18	193
05014	262	31	231
05018	107	10	97
05023	477	45	432
05025	221	27	194
05026	265	42	223
05028	318	56	262
05029	270	52	218
05031	197	46	151
05032	336	59	277
05035	50	7	43
05036	138	30	108
05037	336	31	305
05038	232	51	181
05040	199	38	161
05041	192	18	174
07001	26	2	24
07002	177	20	157
07003	267	44	223
07004	226	32	194
07005	185	32	153
07006	268	44	224
07007	173	36	137
07008	165	28	137
07009	371	64	307
07010	232	35	197
07011	177	44	133
07012	178	40	138
07013	149	46	103
07014	210	61	149
07015	221	35	186
07016	163	30	133
07017	156	38	118
07018	163	31	132
07019	220	44	176
07020	144	29	115
07021	155	37	118
07022	169	38	131
07023	259	40	219
07024	167	39	128
07025	128	29	99
07026	182	27	155
07027	177	35	142
07028	126	28	98
07029	172	30	142
07030	132	34	98
07031	111	29	82
07032	357	64	293
07033	339	40	299
07034	278	45	233
07035	204	49	155
07036	282	43	239
07037	241	35	206
07038	177	35	142
07039	197	39	158
07040	179	34	145
07041	188	36	152
07042	202	36	166
07043	199	43	156
07044	153	27	126
07045	154	37	117
07046	117	36	81
08004	180	36	144
08005	3	1	2
08007	291	53	238
08009	170	39	131
08017	220	47	173
08027	211	32	179
08028	244	52	192
08032	167	33	134
08036	249	62	187
08039	217	42	175
08042	267	42	225
08046	164	31	133
08049	12	2	10
08050	103	19	84
08053	129	31	98
09001	217	36	181
09002	190	49	141
09003	119	23	96
09004	150	28	122
09005	221	32	189
09006	192	48	144
09007	153	36	117
09008	188	37	151
09009	245	43	202
09010	153	32	121
09011	151	33	118
09013	259	39	220
09014	274	32	242
09015	112	30	82
09016	183	32	151
09017	132	33	99
09018	140	33	107
09019	194	35	159
09020	231	50	181
09021	179	42	137
09022	236	48	188
09026	146	35	111
09027	184	40	144
09028	112	29	83
09029	156	33	123
09030	154	25	129
09031	147	33	114
09032	209	34	175
09033	137	28	109
09034	148	28	120
09035	223	46	177
09037	292	59	233
09038	181	32	149
09039	229	56	173
09040	256	45	211
09041	159	33	126
09043	161	35	126
09044	197	41	156
09045	145	30	115
09046	211	35	176
10001	157	41	116
10002	158	42	116
10003	137	27	110
10004	120	33	87
10005	109	23	86
10006	115	31	84
10007	94	39	55
10008	75	16	59
10009	124	29	95
10010	148	37	111
10011	154	44	110
10012	88	22	66
10013	142	43	99
10014	168	50	118
10015	411	79	332
10016	105	19	86
10017	194	50	144
10018	86	17	69
10019	129	35	94
10020	147	49	98
10021	111	29	82
10022	84	27	57
10023	123	41	82
10024	132	45	87
10025	49	12	37
10026	97	28	69
10027	149	41	108
10028	150	48	102
10029	117	43	74
10030	124	27	97
10031	97	31	66
10032	123	38	85
10033	102	38	64
10034	85	24	61
10035	161	33	128
10036	40	18	22
34002	36	9	27
34004	140	40	100
34018	157	39	118
34022	167	38	129
34023	173	44	129
34024	179	34	145
34027	177	51	126
34028	106	42	64
34030	162	29	133
34036	218	48	170
34037	113	34	79
34038	92	22	70
34039	139	40	99
34041	134	32	102
34053	111	29	82
Bloom 1	304	30	274
Bloom 2	284	43	241
Bloom 3	144	19	125
Bloom 4	157	35	122
Bloom 5	139	36	103
Bloom 6	96	11	85
Bloom 7	211	32	179
Bloom 8	146	37	109
Bloom 9	158	27	131
Bloom 10	93	12	81
Bloom 11	99	24	75
Bloom 12	188	42	146
Bloom 13	408	45	363
Bloom 14	237	42	195
Bloom 15	149	32	117
Bloom 16	209	45	164
Bloom 17	182	25	157
Bloom 18	159	37	122
Bloom 19	323	35	288
Bloom 20	264	40	224
Bloom 21	57	5	52
Bloom 22	139	31	108
Bloom 23	166	38	128
Bloom 24	317	40	277
Bloom 25	133	18	115
Bloom 26	82	15	67
Bloom 27	180	40	140
Bloom 28	197	33	164
Bloom 29	114	13	101
Bloom 30	347	48	299
Bloom 31	207	37	170
Bloom 32	141	24	117
Bloom 33	254	43	211
Bloom 34	188	29	159
Bloom 35	91	12	79
Bloom 36	309	49	260
Bloom 37	169	26	143
Bloom 38	603	81	522
Bloom 39	149	25	124
Bloom 40	203	31	172
Bloom 41	335	57	278
Bloom 42	253	31	222
Bloom 43	287	46	241
Bloom 44	220	54	166
Bloom 45	342	59	283
Bloom 46	158	22	136
Bloom 47	336	48	288
Bloom 48	240	42	198
Bloom 49	298	43	255
Bloom 50	228	24	204
Bloom 51	95	16	79
Bloom 52	193	28	165
Bloom 53	85	23	62
Bloom 54	198	46	152
Bloom 55	126	32	94
Bloom 56	152	13	139
Bloom 57	202	30	172
Bloom 58	199	27	172
Bloom 59	178	23	155
Bloom 60	234	34	200
Bloom 61	155	26	129
Bremen 3	3	2	1
Bremen 7	125	20	105
Bremen 8	152	21	131
Bremen 26	270	29	241
Bremen 29	370	47	323
Bremen 31	198	32	166
Bremen 32	241	23	218
Bremen 35	130	27	103
Bremen 38	154	29	125
Bremen 39	120	20	100
Bremen 40	252	39	213
Bremen 44	198	37	161
Bremen 45	52	14	38
Bremen 47	216	31	185
Bremen 48	179	33	146
Bremen 49	250	33	217
Bremen 51	290	30	260
Bremen 56	262	44	218
Bremen 63	295	44	251
Bremen 66	243	19	224
Bremen 70	133	14	119
Bremen 71	187	21	166
Bremen 75	313	30	283
Bremen 78	238	26	212
Bremen 80	243	30	213
Calumet 4	182	45	137
Rich 1	998	116	882
Rich 2	339	52	287
Rich 3	474	62	412
Rich 4	247	37	210
Rich 5	430	65	365
Rich 6	453	47	406
Rich 8	433	83	350
Rich 9	361	39	322
Rich 10	251	34	217
Rich 11	302	40	262
Rich 12	325	54	271
Rich 13	133	29	104
Rich 14	216	37	179
Rich 15	567	67	500
Rich 16	174	29	145
Rich 17	200	29	171
Rich 18	285	39	246
Rich 19	146	17	129
Rich 21	323	50	273
Rich 22	246	44	202
Rich 23	377	67	310
Rich 24	315	31	284
Rich 25	457	64	393
Rich 26	302	47	255
Rich 27	298	45	253
Rich 28	273	33	240
Rich 29	289	24	265
Rich 30	435	53	382
Rich 31	256	36	220
Rich 32	356	35	321
Rich 33	233	17	216
Rich 34	310	34	276
Rich 35	273	27	246
Rich 36	701	116	585
Rich 37	238	28	210
Rich 38	222	36	186
Rich 39	388	50	338
Rich 40	273	28	245
Rich 41	237	33	204
Rich 42	283	44	239
Rich 43	327	45	282
Rich 44	238	33	205
Rich 45	466	52	414
Rich 46	400	48	352
Rich 47	480	51	429
Rich 48	345	38	307
Rich 49	171	25	146
Rich 50	70	18	52
Rich 51	254	35	219
Thornton 1	134	21	113
Thornton 2	79	21	58
Thornton 3	187	51	136
Thornton 4	271	53	218
Thornton 5	132	34	98
Thornton 6	321	64	257
Thornton 7	264	34	230
Thornton 8	213	63	150
Thornton 9	188	43	145
Thornton 10	187	48	139
Thornton 11	99	23	76
Thornton 12	155	48	107
Thornton 13	154	35	119
Thornton 14	225	41	184
Thornton 15	183	25	158
Thornton 16	152	27	125
Thornton 17	193	41	152
Thornton 18	213	41	172
Thornton 19	209	58	151
Thornton 20	106	23	83
Thornton 21	338	53	285
Thornton 22	211	44	167
Thornton 23	250	46	204
Thornton 24	300	36	264
Thornton 25	263	33	230
