Precinct	total_votes	votes|Bobby L. Rush	votes|Jimmy Lee Tillman, II	votes|Thomas Rudbeck
20008	359	336	7	16
20009	539	495	6	38
20010	256	247	4	5
20011	191	183	1	7
20012	302	291	5	6
20013	406	389	7	10
20014	191	181	2	8
20016	436	402	17	17
20018	255	244	2	9
20019	384	368	5	11
20022	474	417	14	43
20023	411	384	11	16
20024	439	383	18	38
20026	407	373	11	23
20027	106	100	2	4
20028	234	222	4	8
20029	447	422	10	15
20030	0	0	0	0
20031	128	124	2	2
20033	227	214	6	7
20034	630	553	15	62
20035	268	253	5	10
20037	109	107	0	2
21001	420	392	7	21
21002	285	269	6	10
21003	417	398	4	15
21004	363	349	4	10
21005	421	399	7	15
21006	318	307	4	7
21007	381	371	4	6
21008	394	374	13	7
21009	425	407	7	11
21010	347	332	5	10
21011	354	337	5	12
21012	359	339	6	14
21013	373	356	8	9
21014	397	384	4	9
21015	337	329	4	4
21016	355	338	7	10
21017	342	324	9	9
21018	425	406	6	13
21019	388	369	5	14
21020	336	319	6	11
21021	316	295	8	13
21022	334	310	9	15
21023	336	323	4	9
21024	375	363	3	9
21025	325	311	5	9
21026	377	359	10	8
21027	371	352	6	13
21028	473	458	10	5
21029	438	426	4	8
21030	314	296	6	12
21031	271	254	8	9
21032	346	330	1	15
21033	330	316	4	10
21034	347	337	4	6
21035	438	417	9	12
21036	355	337	9	9
21037	278	263	4	11
21038	366	355	5	6
21039	327	312	5	10
21040	350	334	8	8
21041	388	364	7	17
21042	417	395	12	10
21043	371	360	5	6
21044	376	353	10	13
21045	355	347	5	3
21046	420	404	10	6
21047	365	348	8	9
21048	371	352	6	13
21049	410	399	7	4
21050	304	288	7	9
21051	354	342	3	9
21052	364	347	9	8
21053	324	307	11	6
21054	339	323	8	8
34001	418	403	4	11
34002	270	263	5	2
34003	395	384	5	6
34005	335	323	7	5
34006	443	417	11	15
34007	430	417	5	8
34008	311	300	8	3
34009	264	249	7	8
34010	369	356	7	6
34011	332	320	6	6
34012	423	403	4	16
34013	378	358	5	15
34014	297	289	2	6
34015	348	336	5	7
34016	322	306	6	10
34017	498	475	6	17
34019	423	404	5	14
34020	438	418	9	11
34021	455	434	10	11
34022	106	100	3	3
34025	571	543	10	18
34026	403	384	3	16
34029	304	298	4	2
34030	146	139	4	3
34031	325	310	6	9
34032	377	363	6	8
34033	309	293	9	7
34034	406	390	3	13
34035	425	400	7	18
34040	418	404	4	10
34041	56	56	0	0
34042	375	357	7	11
34043	351	334	4	13
34044	387	372	8	7
34045	405	390	4	11
34046	266	251	6	9
34047	363	356	3	4
34048	393	380	7	6
34049	360	335	11	14
34050	313	303	7	3
34051	398	378	8	12
34052	291	273	5	13
Bremen 1	434	401	17	16
Bremen 2	555	261	216	78
Bremen 3	430	216	170	44
Bremen 4	468	281	142	45
Bremen 5	325	202	90	33
Bremen 6	361	226	95	40
Bremen 9	399	172	170	57
Bremen 10	582	262	251	69
Bremen 11	555	284	205	66
Bremen 12	377	330	33	14
Bremen 13	506	324	143	39
Bremen 14	353	251	76	26
Bremen 15	350	254	73	23
Bremen 16	511	226	240	45
Bremen 17	428	408	10	10
Bremen 18	644	335	240	69
Bremen 19	179	166	9	4
Bremen 20	376	196	128	52
Bremen 21	555	411	99	45
Bremen 22	389	177	157	55
Bremen 23	161	153	5	3
Bremen 24	430	172	216	42
Bremen 25	572	304	180	88
Bremen 27	519	315	160	44
Bremen 28	339	189	111	39
Bremen 30	493	238	202	53
Bremen 33	428	182	195	51
Bremen 34	626	262	287	77
Bremen 36	341	137	160	44
Bremen 37	255	212	21	22
Bremen 40	308	284	12	12
Bremen 41	303	160	106	37
Bremen 42	628	276	261	91
Bremen 43	329	246	52	31
Bremen 45	103	96	3	4
Bremen 46	485	188	247	50
Bremen 50	517	198	245	74
Bremen 52	371	197	130	44
Bremen 53	302	160	112	30
Bremen 54	400	176	185	39
Bremen 55	381	299	56	26
Bremen 57	515	220	233	62
Bremen 58	587	267	256	64
Bremen 59	486	263	180	43
Bremen 60	392	193	157	42
Bremen 61	463	218	180	65
Bremen 62	514	287	178	49
Bremen 64	592	292	229	71
Bremen 65	212	201	5	6
Bremen 67	649	266	309	74
Bremen 68	314	125	157	32
Bremen 69	520	330	143	47
Bremen 72	331	167	142	22
Bremen 73	503	285	166	52
Bremen 74	518	303	159	56
Bremen 76	411	187	173	51
Bremen 77	711	376	255	80
Bremen 79	515	209	236	70
Calumet 1	445	390	32	23
Calumet 2	420	334	56	30
Calumet 3	462	433	19	10
Calumet 5	410	376	22	12
Calumet 6	694	595	63	36
Calumet 7	544	454	47	43
Calumet 8	314	272	29	13
Calumet 9	369	350	10	9
Calumet 10	507	491	9	7
Calumet 11	683	652	14	17
Calumet 12	354	330	12	12
Orland 3	297	178	94	25
Orland 5	403	184	189	30
Orland 6	353	186	131	36
Orland 7	303	139	127	37
Orland 10	563	255	245	63
Orland 11	374	174	157	43
Orland 13	775	404	298	73
Orland 14	445	220	184	41
Orland 17	386	215	137	34
Orland 19	385	170	170	45
Orland 21	685	266	351	68
Orland 24	495	203	232	60
Orland 25	884	403	402	79
Orland 27	381	200	146	35
Orland 28	395	148	210	37
Orland 30	362	157	172	33
Orland 31	382	184	162	36
Orland 32	330	137	161	32
Orland 33	443	190	204	49
Orland 34	614	258	299	57
Orland 35	573	251	258	64
Orland 37	611	266	288	57
Orland 38	308	163	119	26
Orland 40	599	255	300	44
Orland 46	401	201	162	38
Orland 48	529	229	245	55
Orland 50	215	112	76	27
Orland 52	571	231	285	55
Orland 54	783	311	400	72
Orland 55	417	187	196	34
Orland 62	580	266	258	56
Orland 67	351	186	130	35
Orland 69	286	189	74	23
Orland 72	438	217	172	49
Orland 73	716	352	272	92
Palos 1	368	114	215	39
Palos 9	247	83	128	36
Palos 33	662	250	337	75
Rich 7	540	397	114	29
Rich 20	893	430	359	104
Thornton 31	135	110	16	9
Thornton 49	19	18	0	1
Thornton 97	211	150	44	17
Worth 7	539	190	282	67
Worth 8	579	426	113	40
Worth 9	210	124	67	19
Worth 10	663	422	163	78
Worth 12	331	192	99	40
Worth 13	612	359	177	76
Worth 14	487	366	78	43
Worth 15	387	263	87	37
Worth 16	684	330	269	85
Worth 17	569	406	98	65
Worth 18	443	137	251	55
Worth 19	541	315	146	80
Worth 20	378	269	73	36
Worth 23	580	264	251	65
Worth 24	265	209	37	19
Worth 29	455	360	62	33
Worth 31	680	454	156	70
Worth 32	364	191	128	45
Worth 34	493	340	103	50
Worth 37	416	331	53	32
Worth 38	609	438	122	49
Worth 39	509	276	174	59
Worth 42	450	260	153	37
Worth 43	329	313	11	5
Worth 45	446	246	137	63
Worth 50	609	309	236	64
Worth 52	340	167	125	48
Worth 54	576	358	158	60
Worth 55	275	167	76	32
Worth 57	603	349	183	71
Worth 59	703	580	87	36
Worth 64	758	319	338	101
Worth 65	822	292	441	89
Worth 68	439	346	55	38
Worth 69	635	443	121	71
Worth 72	591	364	151	76
Worth 73	337	217	79	41
Worth 79	360	151	171	38
Worth 80	614	478	102	34
Worth 81	247	101	108	38
Worth 87	462	243	166	53
Worth 88	314	182	98	34
Worth 89	726	277	372	77
Worth 95	588	244	285	59
Worth 96	652	463	141	48
Worth 97	442	348	70	24
