Precinct	total_votes	votes|Janice D. Schakowsky	votes|John D. Elleson
Evanston Ward 8 Precinct 5	822	751	71
Evanston Ward 9 Precinct 1	553	503	50
Evanston Ward 9 Precinct 2	614	585	29
Evanston Ward 9 Precinct 3	938	860	78
Evanston Ward 9 Precinct 4	795	743	52
Evanston Ward 9 Precinct 5	477	435	42
Evanston Ward 9 Precinct 6	627	561	66
Leyden 23	953	538	415
Maine 6	787	510	277
Maine 7	395	258	137
Maine 8	613	343	270
Maine 10	439	281	158
Maine 11	383	233	150
Maine 12	398	275	123
Maine 13	538	340	198
Maine 14	695	468	227
Maine 16	390	263	127
Maine 17	539	327	212
Maine 18	481	305	176
Maine 19	361	223	138
Maine 20	318	203	115
Maine 21	759	444	315
Maine 22	748	457	291
Maine 24	786	477	309
Maine 25	646	415	231
Maine 26	507	341	166
Maine 27	408	277	131
Maine 29	858	455	403
Maine 30	1,385	802	583
Maine 32	341	191	150
Maine 34	641	438	203
Maine 35	25	18	7
Maine 36	551	289	262
Maine 37	636	302	334
Maine 38	398	247	151
Maine 39	492	278	214
Maine 41	420	247	173
Maine 42	847	492	355
Maine 43	486	228	258
Maine 44	377	234	143
Maine 46	551	301	250
Maine 47	543	373	170
Maine 48	676	427	249
Maine 49	498	331	167
Maine 50	553	313	240
Maine 52	514	335	179
Maine 53	448	300	148
Maine 54	603	354	249
Maine 55	442	249	193
Maine 58	564	291	273
Maine 59	527	299	228
Maine 60	953	508	445
Maine 61	332	200	132
Maine 62	276	182	94
Maine 63	381	249	132
Maine 65	396	197	199
Maine 67	814	400	414
Maine 68	396	255	141
Maine 71	278	181	97
Maine 72	437	235	202
Maine 74	459	286	173
Maine 75	441	264	177
Maine 76	316	183	133
Maine 77	838	524	314
Maine 79	429	329	100
Maine 80	518	306	212
Maine 82	495	331	164
Maine 83	402	199	203
Maine 85	307	172	135
Maine 87	375	218	157
Maine 88	374	161	213
Maine 90	309	161	148
Maine 91	779	488	291
New Trier 3	699	539	160
New Trier 8	573	335	238
New Trier 9	744	420	324
New Trier 10	687	396	291
New Trier 11	839	467	372
New Trier 12	771	440	331
New Trier 13	903	601	302
New Trier 14	807	449	358
New Trier 15	931	588	343
New Trier 16	934	507	427
New Trier 17	660	501	159
New Trier 18	533	335	198
New Trier 19	496	212	284
New Trier 20	905	564	341
New Trier 21	772	577	195
New Trier 22	660	326	334
