Precinct	total_votes	votes|Michael J. Zalewski
13026	0	0
13045	44	44
Berwyn Ward 3 Precinct 1	30	30
Berwyn Ward 3 Precinct 3	147	147
Berwyn Ward 5 Precinct 2	148	148
Berwyn Ward 6 Precinct 3	158	158
Berwyn Ward 7 Precinct 3	182	182
Berwyn Ward 8 Precinct 2	147	147
Cicero 1	147	147
Cicero 2	77	77
Cicero 3	145	145
Cicero 4	100	100
Cicero 8	98	98
Cicero 9	147	147
Cicero 15	167	167
Cicero 16	95	95
Cicero 17	138	138
Cicero 18	90	90
Cicero 23	217	217
Cicero 24	135	135
Cicero 27	84	84
Cicero 28	152	152
Cicero 30	117	117
Cicero 31	76	76
Lyons 4	326	326
Lyons 6	136	136
Lyons 7	221	221
Lyons 8	118	118
Lyons 10	209	209
Lyons 25	60	60
Lyons 29	125	125
Lyons 33	71	71
Lyons 34	74	74
Lyons 35	118	118
Lyons 48	204	204
Lyons 51	146	146
Lyons 58	89	89
Lyons 65	232	232
Lyons 67	179	179
Lyons 68	128	128
Lyons 71	72	72
Lyons 75	110	110
Lyons 76	19	19
Proviso 29	268	268
Proviso 75	141	141
Proviso 89	164	164
Proviso 90	338	338
Riverside 1	138	138
Riverside 8	288	288
Riverside 9	216	216
Riverside 10	274	274
Riverside 11	81	81
Stickney 4	192	192
Stickney 6	265	265
Stickney 7	103	103
Stickney 8	137	137
Stickney 9	68	68
Stickney 12	38	38
Stickney 13	162	162
Stickney 18	80	80
