Precinct	total_votes	votes|Sonya Marie Harper
03001	118	118
03003	363	363
03005	270	270
03010	179	179
03013	511	511
03018	367	367
03026	505	505
03029	51	51
03036	100	100
03041	202	202
04013	605	605
04016	147	147
04017	620	620
04020	423	423
04021	463	463
04037	878	878
06015	110	110
06018	25	25
06028	58	58
11012	403	403
11013	341	341
11021	429	429
11024	386	386
11028	141	141
11029	357	357
11031	333	333
11032	136	136
11034	106	106
11035	98	98
15001	273	273
15002	199	199
15003	178	178
15005	46	46
15007	86	86
15013	65	65
15014	3	3
15017	228	228
15018	190	190
15020	226	226
15021	186	186
15022	24	24
15023	238	238
15024	185	185
16002	169	169
16003	209	209
16004	253	253
16005	175	175
16006	102	102
16008	170	170
16009	264	264
16010	233	233
16012	229	229
16014	190	190
16015	268	268
16017	103	103
16018	266	266
16019	219	219
16020	195	195
16021	217	217
16022	197	197
16025	273	273
16026	189	189
16027	209	209
16028	209	209
16030	18	18
16031	255	255
16033	58	58
16034	224	224
16036	199	199
17001	0	0
17006	257	257
17008	122	122
17016	33	33
17017	5	5
17025	233	233
18050	103	103
20002	135	135
20004	152	152
20006	152	152
20013	333	333
20015	255	255
20017	186	186
20020	205	205
20021	231	231
20025	235	235
20027	166	166
20029	375	375
20032	321	321
20036	108	108
20038	108	108
20039	20	20
25014	0	0
25021	762	762
25027	234	234
42005	427	427
42009	594	594
42010	191	191
42012	161	161
42014	182	182
42015	436	436
42017	665	665
42018	545	545
42021	421	421
42033	1	1
42036	497	497
42037	373	373
42038	474	474
42041	357	357
