Precinct	total_votes	votes|Pat Quinn	votes|Renato Mariotti	votes|Scott Drury	votes|Nancy Rotering	votes|Kwame Raoul	votes|Jesse Ruiz	votes|Sharon Fairley	votes|Aaron Goldstein
04017	332	42	24	10	44	108	10	75	19
04018	327	79	6	3	6	186	7	32	8
04019	205	63	3	3	5	112	3	12	4
04020	281	43	7	12	24	98	6	78	13
04021	278	43	10	20	32	82	12	68	11
04022	327	32	3	7	11	176	24	65	9
04023	438	45	8	9	17	235	20	81	23
04024	293	29	3	4	9	182	8	45	13
04025	286	40	16	17	19	95	8	79	12
04026	293	43	2	7	6	211	8	14	2
04027	375	31	15	11	8	209	14	67	20
04028	250	33	5	4	2	175	4	23	4
04029	256	48	7	0	7	164	6	24	0
04030	352	79	5	11	10	218	9	13	7
04031	404	47	10	6	7	273	6	46	9
04032	321	52	3	3	4	208	8	35	8
04033	317	52	6	2	4	190	11	45	7
04034	296	61	4	8	7	175	7	27	7
04035	365	48	3	8	6	261	3	30	6
04036	352	51	8	4	12	230	10	29	8
04037	386	46	23	17	27	122	15	122	14
04038	362	52	1	4	6	238	12	46	3
05001	224	40	6	5	8	139	2	19	5
05002	174	36	0	0	3	118	5	10	2
05003	294	29	4	4	16	158	2	62	19
05004	346	31	5	3	15	234	7	43	8
05005	269	44	2	5	8	168	10	26	6
05006	234	38	5	1	7	155	4	19	5
05007	293	41	7	4	9	179	7	36	10
05008	334	19	7	10	18	144	17	110	9
05009	357	36	7	4	6	219	6	66	13
05010	209	42	2	1	5	150	2	7	0
05011	349	37	6	5	14	201	5	72	9
05012	191	49	4	8	3	112	0	12	3
05013	216	50	1	5	2	135	4	16	3
05014	279	33	0	1	3	212	2	27	1
05015	253	39	7	4	8	135	5	44	11
05016	235	54	2	3	4	147	5	18	2
05017	238	49	3	1	12	151	5	14	3
05018	280	31	6	6	11	145	5	62	14
05019	327	32	9	9	13	143	5	88	28
05020	358	32	8	5	12	229	7	60	5
05021	293	33	7	2	11	152	8	63	17
05022	390	47	6	10	12	211	15	76	13
05023	504	47	12	9	10	281	17	111	17
05024	327	38	13	6	13	157	12	74	14
05025	301	45	2	5	2	211	5	22	9
05026	291	42	0	2	5	202	8	26	6
05027	262	27	12	4	19	109	7	66	18
05028	333	48	1	5	5	221	4	44	5
05029	294	53	2	4	1	193	6	33	2
05030	193	28	3	7	3	131	4	12	5
05031	213	40	3	3	6	132	4	21	4
05032	364	51	3	6	11	240	4	38	11
05033	320	69	3	10	8	196	6	23	5
05034	324	29	4	11	23	120	26	93	18
05035	337	39	10	11	28	156	7	67	19
05036	160	33	3	3	6	97	5	13	0
05037	357	53	4	4	20	180	11	70	15
05038	259	50	5	7	5	165	6	19	2
05039	266	22	4	4	18	128	9	78	3
05040	214	37	2	3	1	145	3	21	2
05041	209	33	4	0	10	115	6	36	5
06001	292	47	2	3	9	203	5	20	3
06002	250	54	3	3	2	161	2	22	3
06003	286	46	1	6	5	203	10	14	1
06004	160	50	2	2	1	95	2	6	2
06005	131	40	2	4	3	74	1	5	2
06006	260	37	3	4	2	178	7	25	4
06007	227	41	1	5	6	159	2	10	3
06008	234	42	0	3	4	157	4	23	1
06009	176	44	4	6	4	103	3	11	1
06010	132	27	2	1	0	90	2	8	2
06011	193	37	5	6	5	123	6	9	2
06012	142	31	0	6	1	93	1	9	1
06013	175	43	2	2	3	107	3	13	2
06014	233	32	2	3	1	175	3	17	0
06015	158	46	4	8	1	81	2	12	4
06016	285	60	2	4	7	178	7	24	3
06017	144	29	2	1	4	97	3	8	0
06018	141	41	1	4	7	73	5	8	2
06019	199	39	1	3	4	139	3	9	1
06020	120	40	1	2	0	68	1	7	1
06021	112	28	1	0	5	68	5	5	0
06022	131	29	2	4	5	83	1	6	1
06023	99	24	1	2	0	66	3	1	2
06024	124	34	5	2	1	70	2	9	1
06025	116	29	1	2	0	66	4	12	2
06026	142	22	3	5	4	81	5	21	1
06027	108	23	0	2	2	69	3	8	1
06028	105	32	0	2	2	60	1	8	0
06029	294	44	1	2	7	201	11	26	2
06030	172	33	7	3	2	108	3	10	6
06031	294	36	7	4	7	204	2	28	6
06032	234	44	0	2	4	158	2	23	1
06033	238	49	2	9	5	152	5	16	0
