Precinct	total_votes	votes|Ram Villivalam
33002	265	265
33007	118	118
35030	2	2
39001	348	348
39002	333	333
39004	305	305
39005	369	369
39006	360	360
39007	348	348
39008	384	384
39009	350	350
39010	202	202
39011	325	325
39012	229	229
39013	266	266
39014	407	407
39015	356	356
39016	296	296
39017	386	386
39018	365	365
39019	382	382
39024	6	6
39025	58	58
39026	316	316
39027	62	62
39029	227	227
39030	430	430
39031	41	41
39032	285	285
39033	411	411
39035	384	384
39036	113	113
39037	347	347
39038	209	209
39039	232	232
39040	304	304
39041	360	360
39042	322	322
39043	357	357
39044	258	258
39045	311	311
40004	206	206
40010	302	302
40029	0	0
40035	0	0
40039	95	95
41006	384	384
41009	314	314
41014	367	367
41019	358	358
41032	267	267
41039	334	334
41047	335	335
45032	86	86
50001	278	278
50002	194	194
50003	258	258
50004	350	350
50005	179	179
50006	390	390
50007	400	400
50008	62	62
50009	288	288
50010	274	274
50011	148	148
50012	130	130
50013	403	403
50014	105	105
50015	413	413
50016	94	94
50017	297	297
50018	55	55
50019	218	218
50020	327	327
50021	299	299
50022	232	232
50023	201	201
50024	172	172
50025	259	259
50026	295	295
50027	79	79
50028	359	359
50029	311	311
50030	236	236
50031	459	459
50032	388	388
50033	221	221
50034	446	446
50035	473	473
50036	326	326
50037	387	387
50038	134	134
50039	180	180
50040	216	216
Maine 1	254	254
Maine 2	312	312
Maine 5	198	198
Maine 15	218	218
Maine 31	354	354
Maine 32	213	213
Maine 33	284	284
Maine 40	326	326
Maine 44	265	265
Maine 46	352	352
Maine 51	327	327
Maine 52	374	374
Maine 58	347	347
Maine 60	67	67
Maine 62	192	192
Maine 63	270	270
Maine 69	320	320
Maine 71	189	189
Maine 72	272	272
Maine 73	110	110
Maine 74	316	316
Maine 75	287	287
Maine 76	200	200
Maine 78	322	322
Maine 81	206	206
Maine 83	235	235
Maine 84	171	171
Maine 89	247	247
Maine 90	180	180
Niles 1	379	379
Niles 2	463	463
Niles 3	84	84
Niles 4	308	308
Niles 5	237	237
Niles 6	324	324
Niles 10	463	463
Niles 11	241	241
Niles 12	321	321
Niles 13	245	245
Niles 15	490	490
Niles 16	596	596
Niles 17	578	578
Niles 20	407	407
Niles 24	538	538
Niles 25	265	265
Niles 26	467	467
Niles 27	405	405
Niles 29	272	272
Niles 30	333	333
Niles 33	328	328
Niles 34	422	422
Niles 35	518	518
Niles 38	693	693
Niles 39	511	511
Niles 40	200	200
Niles 41	547	547
Niles 42	432	432
Niles 43	524	524
Niles 44	545	545
Niles 46	509	509
Niles 50	480	480
Niles 51	229	229
Niles 52	346	346
Niles 53	640	640
Niles 54	283	283
Niles 55	338	338
Niles 56	546	546
Niles 57	492	492
Niles 58	464	464
Niles 61	605	605
Niles 63	582	582
