Precinct	total_votes	votes|Luis Arroyo
01002	339	339
01017	6	6
01026	44	44
26024	1	1
26037	343	343
29015	1	1
29023	17	17
29024	51	51
29029	26	26
29030	270	270
29031	185	185
29036	257	257
29038	370	370
29039	322	322
30002	354	354
30005	257	257
30006	296	296
30009	111	111
30010	367	367
30011	350	350
30012	313	313
30013	347	347
30014	230	230
30016	169	169
30019	256	256
30021	262	262
30029	212	212
30030	163	163
31003	200	200
31004	230	230
31014	20	20
31015	209	209
31016	178	178
31019	211	211
31021	27	27
31022	220	220
31025	222	222
31031	185	185
31039	287	287
35002	419	419
35003	104	104
35007	458	458
35008	466	466
35014	292	292
35018	279	279
35019	154	154
35021	40	40
36001	319	319
36002	312	312
36003	301	301
36004	317	317
36005	309	309
36006	279	279
36007	364	364
36008	244	244
36009	297	297
36010	390	390
36011	233	233
36012	100	100
36013	233	233
36015	313	313
36018	70	70
36019	376	376
36021	263	263
36022	266	266
36023	287	287
36024	320	320
36025	323	323
36026	288	288
36027	323	323
36028	272	272
36029	329	329
36030	319	319
37022	61	61
37026	1	1
38004	286	286
38008	282	282
38010	251	251
38016	296	296
38021	164	164
38037	324	324
38039	240	240
Leyden 28	190	190
Leyden 34	120	120
