Precinct	total_votes	votes|Martin A. Sandoval
12002	125	125
12006	146	146
12007	127	127
12010	144	144
12011	150	150
12012	148	148
12013	32	32
12014	138	138
12015	139	139
12016	106	106
12017	95	95
12018	100	100
12020	170	170
12022	117	117
13001	154	154
13002	172	172
13003	140	140
13004	173	173
13005	208	208
13006	186	186
13007	129	129
13008	138	138
13009	146	146
13010	156	156
13011	197	197
13012	141	141
13013	172	172
13014	146	146
13015	274	274
13016	104	104
13017	154	154
13018	141	141
13019	131	131
13020	108	108
13021	175	175
13022	183	183
13023	122	122
13024	177	177
13025	154	154
13026	148	148
13027	174	174
13028	133	133
13029	129	129
13030	138	138
13031	188	188
13032	139	139
13033	195	195
13034	230	230
13035	176	176
13036	99	99
13037	204	204
13038	152	152
13039	169	169
13040	174	174
13041	162	162
13042	178	178
13043	198	198
13044	197	197
13045	173	173
13046	200	200
13047	168	168
13048	180	180
14001	18	18
14003	123	123
14006	16	16
14010	0	0
14011	77	77
14015	169	169
14018	75	75
14022	154	154
14023	32	32
15006	133	133
15009	0	0
15010	81	81
15011	72	72
15012	3	3
18015	188	188
18043	104	104
18046	132	132
22004	41	41
22005	4	4
22007	12	12
22010	176	176
22013	81	81
22014	135	135
22015	83	83
22016	103	103
22017	18	18
22018	57	57
22019	22	22
22022	112	112
23001	168	168
23002	147	147
23004	187	187
23005	161	161
23006	30	30
23007	136	136
23008	193	193
23009	149	149
23010	180	180
23011	164	164
23012	151	151
23013	128	128
23014	10	10
23015	133	133
23016	186	186
23017	31	31
23018	134	134
23020	82	82
23021	181	181
23022	91	91
23023	158	158
23024	47	47
23025	32	32
23026	152	152
23027	158	158
23028	153	153
23029	143	143
23030	171	171
23032	142	142
23033	151	151
23034	151	151
23035	104	104
23036	156	156
23037	110	110
23038	125	125
23039	147	147
24016	165	165
Berwyn Ward 1 Precinct 2	4	4
Cicero 5	2	2
Cicero 6	182	182
Cicero 13	110	110
Cicero 20	150	150
Lyons 1	25	25
Lyons 3	133	133
Lyons 19	171	171
Lyons 22	123	123
Lyons 30	55	55
Lyons 32	66	66
Lyons 37	119	119
Lyons 56	247	247
Lyons 57	200	200
Lyons 59	110	110
Lyons 60	268	268
Lyons 64	166	166
Lyons 66	123	123
Riverside 2	12	12
Riverside 3	127	127
Riverside 4	335	335
Stickney 1	74	74
Stickney 2	129	129
Stickney 3	240	240
Stickney 12	2	2
Stickney 16	180	180
Stickney 17	43	43
Stickney 19	152	152
Stickney 20	153	153
