Precinct	total_votes	votes|Karen Yarbrough
17007	96	96
17008	0	0
17012	152	152
17013	112	112
17014	153	153
17016	37	37
17019	86	86
17025	1	1
17031	81	81
17033	45	45
17035	89	89
17036	25	25
20002	57	57
20004	48	48
20006	65	65
20011	139	139
20015	42	42
20017	75	75
20020	94	94
20021	94	94
20025	109	109
20027	18	18
20030	75	75
20031	137	137
20032	120	120
20036	47	47
20037	0	0
20038	46	46
20039	19	19
22014	68	68
22015	7	7
22019	29	29
22021	160	160
23017	29	29
23019	41	41
23031	48	48
24001	124	124
24002	121	121
24003	107	107
24004	102	102
24005	61	61
24006	127	127
24007	76	76
24008	62	62
24009	100	100
24010	62	62
24011	119	119
24012	65	65
24013	53	53
24014	91	91
24015	51	51
24016	52	52
24017	106	106
24018	137	137
24019	165	165
24020	104	104
24021	56	56
24022	157	157
24023	93	93
24024	136	136
24025	107	107
24026	217	217
24027	149	149
24028	99	99
24029	112	112
24030	76	76
24031	133	133
24032	69	69
24033	67	67
24034	111	111
24035	106	106
24036	155	155
24037	82	82
24038	120	120
24039	167	167
24040	130	130
24041	105	105
25003	179	179
25004	140	140
25006	52	52
25010	183	183
25014	75	75
25016	158	158
25018	60	60
25020	104	104
25021	273	273
25025	145	145
25027	132	132
25029	152	152
25031	180	180
26001	81	81
26003	170	170
26004	80	80
26010	93	93
26017	103	103
26019	75	75
26021	139	139
26027	67	67
26028	90	90
26033	131	131
26036	78	78
26039	75	75
26045	7	7
26046	85	85
27001	158	158
27002	144	144
27003	95	95
27004	85	85
27005	119	119
27006	137	137
27008	109	109
27009	72	72
27010	193	193
27011	124	124
27013	187	187
27014	65	65
27015	67	67
27016	98	98
27017	140	140
27018	111	111
27019	67	67
27020	77	77
27021	123	123
27022	83	83
27023	127	127
27024	83	83
27025	150	150
27026	140	140
27027	143	143
27028	92	92
27029	85	85
27030	85	85
27031	144	144
27032	132	132
27033	124	124
27034	111	111
27035	137	137
27036	129	129
27037	168	168
27038	260	260
27039	134	134
27040	137	137
27041	147	147
27042	66	66
27043	94	94
27044	92	92
27045	208	208
27047	121	121
27048	197	197
27049	117	117
27050	150	150
28001	95	95
28002	110	110
28003	107	107
28004	83	83
28005	91	91
28006	95	95
28007	121	121
28008	104	104
28009	122	122
28010	178	178
28011	201	201
28012	129	129
28013	132	132
28014	118	118
28015	37	37
28016	81	81
28017	103	103
28018	110	110
28019	114	114
28020	128	128
28021	117	117
28022	125	125
28023	144	144
28024	120	120
28025	200	200
28026	140	140
28027	128	128
28028	166	166
28029	51	51
28030	34	34
28031	233	233
28032	116	116
28033	146	146
28034	198	198
28035	138	138
28036	70	70
28037	169	169
28038	53	53
28039	87	87
28040	172	172
28041	107	107
28042	139	139
28043	159	159
28044	90	90
28045	110	110
28046	210	210
29001	261	261
29002	260	260
29003	176	176
29004	217	217
29005	123	123
29006	141	141
29007	205	205
29008	118	118
29009	3	3
29010	249	249
29011	118	118
29012	234	234
29013	187	187
29014	183	183
29015	226	226
29016	211	211
29017	200	200
29018	177	177
29019	204	204
29020	205	205
29021	182	182
29022	148	148
29024	175	175
29025	235	235
29026	210	210
29027	158	158
29028	232	232
29033	165	165
29034	90	90
