Precinct	total_votes	votes|Robert ''Bob'' Rita	votes|Kimberly Nicole Koschnitzky	votes|Mary Carvlin
09001	62	53	3	6
09002	31	23	3	5
09004	27	24	2	1
09005	219	163	17	39
09006	193	140	18	35
09009	67	58	2	7
09013	66	46	3	17
09014	277	219	23	35
09017	83	61	7	15
09019	188	138	18	32
09022	239	196	12	31
09029	168	111	26	31
09031	120	85	10	25
09032	205	157	17	31
09034	147	114	14	19
09035	224	160	20	44
09038	92	65	10	17
09039	228	169	22	37
09040	258	213	15	30
09043	80	54	13	13
09044	38	25	4	9
34002	101	76	7	18
34003	195	158	15	22
34004	141	107	15	19
34006	235	181	23	31
34009	144	122	14	8
34011	145	106	17	22
34014	157	119	15	23
34015	14	12	1	1
34016	167	123	16	28
34018	168	121	16	31
34020	76	56	4	16
34022	220	160	19	41
34023	179	139	14	26
34024	185	126	23	36
34026	242	181	28	33
34027	176	120	20	36
34028	123	105	7	11
34030	244	178	19	47
34031	141	106	19	16
34033	157	112	24	21
34036	209	152	22	35
34037	119	82	15	22
34038	93	70	8	15
34039	145	119	15	11
34041	139	92	23	24
34042	240	184	18	38
34050	147	107	19	21
34051	130	98	10	22
34053	112	72	16	24
Bremen 1	2	2	0	0
Bremen 11	181	108	35	38
Bremen 13	220	142	35	43
Bremen 16	193	114	43	36
Bremen 17	208	152	22	34
Bremen 19	97	66	12	19
Bremen 20	142	91	32	19
Bremen 23	84	72	6	6
Bremen 25	103	62	15	26
Bremen 27	158	97	36	25
Bremen 30	172	102	39	31
Bremen 36	106	54	36	16
Bremen 46	127	75	19	33
Bremen 50	171	83	37	51
Bremen 53	93	62	13	18
Bremen 54	128	65	41	22
Bremen 58	202	98	59	45
Bremen 59	39	21	10	8
Bremen 60	154	98	42	14
Bremen 64	170	90	38	42
Bremen 65	107	85	9	13
Bremen 72	111	82	13	16
Bremen 76	120	58	24	38
Bremen 79	166	85	42	39
Calumet 1	231	188	13	30
Calumet 2	88	49	9	30
Calumet 3	267	206	24	37
Calumet 4	192	144	24	24
Calumet 5	226	165	14	47
Calumet 6	177	129	14	34
Calumet 7	282	221	19	42
Calumet 8	136	102	6	28
Calumet 9	208	168	11	29
Calumet 10	320	261	27	32
Calumet 11	408	329	23	56
Calumet 12	185	118	9	58
Orland 6	114	65	19	30
Orland 12	1	1	0	0
Orland 13	228	142	41	45
Orland 17	119	81	24	14
Orland 19	126	80	15	31
Orland 23	150	74	42	34
Orland 24	152	78	31	43
Orland 27	115	65	25	25
Orland 30	94	54	22	18
Orland 34	175	108	31	36
Orland 41	149	77	41	31
Orland 46	20	13	2	5
Orland 49	110	65	22	23
Orland 50	136	82	21	33
Orland 52	170	91	38	41
Orland 62	172	105	35	32
Orland 74	129	85	22	22
Thornton 31	26	18	3	5
Worth 24	130	100	7	23
Worth 43	46	37	4	5
