Precinct	total_votes	votes|Michael Cabonargi
01001	173	173
01002	127	127
01003	176	176
01004	167	167
01005	156	156
01006	145	145
01007	101	101
01008	142	142
01009	133	133
01010	155	155
01011	160	160
01012	207	207
01013	84	84
01014	160	160
01015	153	153
01016	180	180
01017	152	152
01018	194	194
01019	179	179
01020	139	139
01021	158	158
01022	117	117
01023	245	245
01024	148	148
01025	153	153
01026	105	105
01027	167	167
01028	59	59
01029	195	195
01030	187	187
01031	188	188
01032	149	149
01033	173	173
01034	147	147
01035	182	182
01036	140	140
01037	162	162
01038	142	142
01039	135	135
01040	167	167
01041	103	103
01042	48	48
01043	86	86
01044	172	172
02001	164	164
02002	125	125
02003	183	183
02004	125	125
02005	172	172
02006	149	149
02007	150	150
02008	161	161
02009	94	94
02010	77	77
02011	152	152
02012	149	149
02013	140	140
02014	184	184
02015	164	164
02016	143	143
02017	211	211
02018	146	146
02019	98	98
02020	118	118
02021	176	176
02022	139	139
02023	100	100
02024	157	157
02025	168	168
02026	109	109
02027	116	116
02028	142	142
02029	150	150
02030	129	129
02031	181	181
02032	113	113
02033	248	248
02034	159	159
02035	131	131
02036	123	123
02037	144	144
02038	107	107
02039	91	91
02040	167	167
02041	106	106
02042	124	124
02043	147	147
02044	89	89
02045	167	167
02046	76	76
11001	175	175
11002	11	11
11003	119	119
11004	162	162
11005	205	205
11006	184	184
11007	58	58
11008	150	150
11009	144	144
11010	155	155
11011	171	171
11012	225	225
11013	200	200
11014	61	61
11015	72	72
11016	109	109
11017	209	209
11018	139	139
11019	213	213
11020	127	127
11021	271	271
11022	186	186
11023	132	132
11024	240	240
11025	206	206
11026	222	222
11027	63	63
11029	232	232
11030	71	71
11031	183	183
11032	84	84
11033	156	156
11034	59	59
11035	56	56
11036	72	72
11037	38	38
11038	71	71
12001	163	163
12002	102	102
12003	208	208
12004	180	180
12005	148	148
12006	138	138
12007	120	120
12008	160	160
12009	139	139
12010	146	146
12011	140	140
12012	123	123
12013	154	154
12014	115	115
12015	114	114
12016	94	94
12017	124	124
12018	83	83
12019	129	129
12020	154	154
12021	130	130
12022	103	103
12023	159	159
13001	143	143
13003	124	124
13007	113	113
13008	131	131
13012	129	129
13014	125	125
13015	255	255
13016	98	98
13017	150	150
13023	117	117
13024	168	168
13025	146	146
13026	71	71
13040	167	167
14003	112	112
14005	168	168
14006	61	61
14007	143	143
14008	147	147
14009	203	203
14010	88	88
14011	72	72
14012	165	165
14013	142	142
14014	154	154
14015	134	134
14016	101	101
14017	116	116
14018	69	69
14019	146	146
14020	84	84
14021	128	128
14022	188	188
14023	120	120
14024	86	86
14025	89	89
14026	112	112
14027	145	145
14028	105	105
14029	119	119
14030	88	88
14031	83	83
15001	124	124
15004	122	122
15005	121	121
15006	115	115
15008	124	124
15009	156	156
15010	147	147
15011	131	131
15012	144	144
15013	65	65
15019	2	2
16001	144	144
16013	92	92
16017	79	79
