Precinct	Register Voters	Ballots Cast	Turnout %
01001	862	594	68.91
01002	811	482	59.43
01003	881	658	74.69
01004	920	639	69.46
01005	826	663	80.27
01006	836	566	67.70
01007	577	415	71.92
01008	751	535	71.24
01009	631	486	77.02
01010	1018	751	73.77
01011	853	678	79.48
01012	1004	675	67.23
01013	388	263	67.78
01014	721	550	76.28
01015	776	520	67.01
01016	931	677	72.72
01017	754	491	65.12
01018	840	546	65.00
01019	896	659	73.55
01020	651	452	69.43
01021	1009	785	77.80
01022	557	374	67.15
01023	1004	780	77.69
01024	914	500	54.70
01025	847	569	67.18
01026	713	354	49.65
01027	888	616	69.37
01028	314	167	53.18
01029	879	686	78.04
01030	927	612	66.02
01031	864	552	63.89
01032	795	562	70.69
01033	949	666	70.18
01034	663	455	68.63
01035	1032	707	68.51
01036	842	603	71.62
01037	846	593	70.09
01038	767	554	72.23
01039	755	510	67.55
01040	825	586	71.03
01041	475	337	70.95
01042	270	183	67.78
01043	556	356	64.03
01044	650	511	78.62
02001	906	658	72.63
02002	595	470	78.99
02003	900	680	75.56
02004	746	528	70.78
02005	935	706	75.51
02006	769	565	73.47
02007	1477	569	38.52
02008	1020	695	68.14
02009	722	550	76.18
02010	643	518	80.56
02011	801	645	80.52
02012	755	559	74.04
02013	672	522	77.68
02014	831	619	74.49
02015	819	574	70.09
02016	790	527	66.71
02017	915	686	74.97
02018	747	577	77.24
02019	577	457	79.20
02020	993	675	67.98
02021	840	614	73.10
02022	830	640	77.11
02023	527	426	80.83
02024	704	558	79.26
02025	830	627	75.54
02026	804	543	67.54
02027	699	553	79.11
02028	839	668	79.62
02029	874	668	76.43
02030	681	495	72.69
02031	927	693	74.76
02032	623	467	74.96
02033	1056	880	83.33
02034	594	482	81.14
02035	1038	764	73.60
02036	792	661	83.46
02037	660	542	82.12
02038	700	556	79.43
02039	634	427	67.35
02040	1067	811	76.01
02041	932	602	64.59
02042	770	665	86.36
02043	1010	802	79.41
02044	458	369	80.57
02045	912	689	75.55
02046	478	333	69.67
03001	1153	669	58.02
03002	729	622	85.32
03003	836	484	57.89
03004	809	553	68.36
03005	655	318	48.55
03006	962	749	77.86
03007	518	353	68.15
03008	777	431	55.47
03009	793	533	67.21
03010	546	238	43.59
03011	737	531	72.05
03012	636	525	82.55
03013	828	634	76.57
03014	847	613	72.37
03015	788	483	61.29
03016	782	452	57.80
03017	1035	758	73.24
03018	1357	768	56.60
03019	861	652	75.73
03020	828	535	64.61
03021	854	633	74.12
03022	1067	756	70.85
03023	834	460	55.16
03024	771	436	56.55
03025	1337	968	72.40
