Precinct	total_votes	votes|Aaron M. Ortiz
12020	3	3
14001	261	261
14002	397	397
14004	283	283
14005	434	434
14006	122	122
14007	370	370
14008	342	342
14009	358	358
14010	217	217
14012	336	336
14013	256	256
14014	281	281
14016	218	218
14017	261	261
14018	27	27
14019	282	282
14020	223	223
14021	300	300
14022	123	123
14023	177	177
14024	339	339
14025	183	183
14026	241	241
14027	296	296
14028	239	239
14029	256	256
14030	180	180
14031	186	186
15003	27	27
15004	299	299
15008	253	253
15009	42	42
15010	178	178
15011	176	176
15012	319	319
15016	325	325
15019	261	261
16001	348	348
16002	77	77
16007	230	230
16011	242	242
16013	240	240
16017	195	195
16023	290	290
16032	273	273
16035	308	308
17001	187	187
17007	254	254
17012	401	401
17014	349	349
17016	275	275
17030	80	80
22001	195	195
22002	362	362
22008	403	403
22012	272	272
22023	419	419
23003	261	261
23006	107	107
23012	22	22
23014	221	221
23017	130	130
23019	260	260
23020	16	16
23022	95	95
23024	159	159
23025	234	234
23026	136	136
23031	249	249
23037	106	106
Stickney 10	446	446
